rental_id,top_distances,top_school_ids
17744383,"[2130.57, 2181.23, 2223.34, 3171.9, 6359.58]","[20, 1787, 3618, 5160, 1656]"
16896206,"[1893.04, 2932.48, 2974.59, 2982.29, 6122.05]","[20, 1787, 3618, 5160, 1656]"
17619153,"[1362.64, 2062.58, 2104.69, 3583.77, 5158.21]","[20, 1787, 3618, 5160, 1656]"
16435404,"[2285.6, 2799.77, 3325.04, 3367.15, 6514.61]","[20, 5160, 1787, 3618, 1656]"
17737706,"[480.43, 541.02, 1294.55, 3863.63, 17870.39]","[3618, 1787, 20, 1656, 7874]"
17738879,"[875.37, 1873.0, 2155.9, 4258.58, 18265.34]","[3618, 1787, 20, 1656, 7874]"
17744089,"[844.88, 1842.51, 2125.41, 4228.08, 18234.84]","[3618, 1787, 20, 1656, 7874]"
17750812,"[769.25, 1113.19, 2746.42, 3864.88, 17886.15]","[1787, 20, 4944, 1656, 7874]"
17671142,"[1222.46, 1566.39, 2175.46, 3293.92, 17173.4]","[1787, 20, 4944, 1656, 7874]"
17709710,"[1222.46, 1566.39, 2175.46, 3293.92, 17173.4]","[1787, 20, 4944, 1656, 7874]"
17720489,"[1222.46, 1566.39, 2175.46, 3293.92, 17173.4]","[1787, 20, 4944, 1656, 7874]"
17736534,"[1427.57, 1771.51, 2305.19, 2974.17, 4405.96]","[1787, 20, 5027, 1656, 4988]"
17489716,"[2123.36, 2886.86, 3391.09, 6288.0, 20603.14]","[5160, 1733, 20, 5244, 1809]"
17467704,"[3221.47, 3437.81, 4260.9, 4303.01, 20772.1]","[20, 1733, 1787, 3618, 4976]"
17738029,"[2485.52, 3032.68, 3249.02, 4072.12, 4114.22]","[5160, 20, 1733, 1787, 3618]"
17722466,"[1881.08, 3603.26, 3987.06, 19794.57, 21527.03]","[20, 5160, 1915, 8775, 1809]"
17347294,"[2873.92, 3469.59, 4979.9, 20787.41, 22519.88]","[20, 5160, 1915, 8775, 1809]"
17739116,"[2087.12, 2617.23, 5514.13, 18834.43, 20566.89]","[5160, 20, 5244, 8775, 1809]"
17608443,"[2237.66, 2691.22, 5588.13, 20604.71, 22337.17]","[5160, 20, 5244, 8775, 1809]"
