rental_id,top_distances,top_station_ids,distance_to_cbd
17694443,"[3387.1, 22581.13, 22631.29]","['26199', '11219', '10117']",21520.46
14799583,"[20639.18, 20689.34, 21928.44]","['11219', '10117', 'vic:rail:JOR']",19578.5
16807603,"[19489.88, 19540.04, 20779.13]","['11219', '10117', 'vic:rail:JOR']",18429.2
17744784,"[20174.74, 20224.9, 21464.0]","['11219', '10117', 'vic:rail:JOR']",19114.06
17745926,"[18491.52, 18541.69, 19780.78]","['11219', '10117', 'vic:rail:JOR']",17430.85
17748161,"[20732.1, 20782.26, 22021.35]","['11219', '10117', 'vic:rail:JOR']",19671.42
17748734,"[20404.92, 20455.08, 21694.18]","['11219', '10117', 'vic:rail:JOR']",19344.24
17752621,"[20730.01, 20780.17, 22019.27]","['11219', '10117', 'vic:rail:JOR']",19669.33
17652390,"[19474.34, 19524.51, 20763.6]","['11219', '10117', 'vic:rail:JOR']",18413.67
17716716,"[17949.33, 17999.49, 19238.58]","['11219', '10117', 'vic:rail:JOR']",16888.65
17729921,"[21509.46, 21559.63, 22798.72]","['11219', '10117', 'vic:rail:JOR']",20448.79
16909025,"[19457.12, 19507.29, 20746.38]","['11219', '10117', 'vic:rail:JOR']",18396.44
17690299,"[18833.59, 18883.75, 20122.85]","['11219', '10117', 'vic:rail:JOR']",17772.91
17693008,"[18980.0, 19030.16, 20269.26]","['11219', '10117', 'vic:rail:JOR']",17919.32
17712875,"[19932.81, 19982.98, 21222.07]","['11219', '10117', 'vic:rail:JOR']",18872.14
17722477,"[19513.38, 19563.54, 20802.63]","['11219', '10117', 'vic:rail:JOR']",18452.7
17725138,"[19245.68, 19295.84, 20534.94]","['11219', '10117', 'vic:rail:JOR']",18185.0
17732071,"[19176.88, 19227.04, 20466.13]","['11219', '10117', 'vic:rail:JOR']",18116.2
17734031,"[19405.19, 19455.36, 20694.45]","['11219', '10117', 'vic:rail:JOR']",18344.51
17741212,"[19474.58, 19524.74, 20763.84]","['11219', '10117', 'vic:rail:JOR']",18413.9
17590791,"[19650.26, 19700.42, 20939.51]","['11219', '10117', 'vic:rail:JOR']",18589.58
