region,suburb,date,count,median
Ballarat,Ballarat,2000-12-01,77.0,170.0
Ballarat,Ballarat,2001-12-01,66.0,180.0
Ballarat,Ballarat,2002-12-01,66.0,198.0
Ballarat,Ballarat,2003-12-01,84.0,200.0
Ballarat,Ballarat,2004-12-01,77.0,220.0
Ballarat,Ballarat,2005-12-01,77.0,230.0
Ballarat,Ballarat,2006-12-01,44.0,240.0
Ballarat,Ballarat,2007-12-01,59.0,260.0
Ballarat,Ballarat,2008-12-01,140.0,270.0
Ballarat,Ballarat,2009-12-01,157.0,280.0
Ballarat,Ballarat,2010-12-01,153.0,310.0
Ballarat,Ballarat,2011-12-01,161.0,320.0
Ballarat,Ballarat,2012-12-01,168.0,330.0
Ballarat,Ballarat,2013-12-01,191.0,350.0
Ballarat,Ballarat,2014-12-01,210.0,350.0
Ballarat,Ballarat,2015-12-01,223.0,350.0
Ballarat,Ballarat,2016-12-01,223.0,350.0
Ballarat,Ballarat,2017-12-01,222.0,360.0
Ballarat,Ballarat,2018-12-01,222.0,370.0
Ballarat,Ballarat,2019-12-01,216.0,390.0
Ballarat,Ballarat,2020-12-01,240.0,395.0
Ballarat,Ballarat,2021-12-01,231.0,420.0
Ballarat,Ballarat,2022-12-01,239.0,440.0
Ballarat,Ballarat,2000-06-01,93.0,165.0
Ballarat,Ballarat,2001-06-01,68.0,175.0
Ballarat,Ballarat,2002-06-01,65.0,190.0
Ballarat,Ballarat,2003-06-01,78.0,200.0
Ballarat,Ballarat,2004-06-01,71.0,220.0
Ballarat,Ballarat,2005-06-01,86.0,220.0
Ballarat,Ballarat,2006-06-01,59.0,240.0
Ballarat,Ballarat,2007-06-01,38.0,250.0
Ballarat,Ballarat,2008-06-01,103.0,255.0
Ballarat,Ballarat,2009-06-01,157.0,270.0
Ballarat,Ballarat,2010-06-01,153.0,300.0
Ballarat,Ballarat,2011-06-01,161.0,320.0
Ballarat,Ballarat,2012-06-01,148.0,320.0
Ballarat,Ballarat,2013-06-01,184.0,340.0
Ballarat,Ballarat,2014-06-01,203.0,350.0
Ballarat,Ballarat,2015-06-01,203.0,350.0
Ballarat,Ballarat,2016-06-01,244.0,350.0
Ballarat,Ballarat,2017-06-01,215.0,360.0
Ballarat,Ballarat,2018-06-01,213.0,360.0
Ballarat,Ballarat,2019-06-01,227.0,380.0
Ballarat,Ballarat,2020-06-01,239.0,395.0
Ballarat,Ballarat,2021-06-01,236.0,400.0
Ballarat,Ballarat,2022-06-01,244.0,430.0
Ballarat,Ballarat,2000-03-01,95.0,165.0
Ballarat,Ballarat,2001-03-01,65.0,175.0
Ballarat,Ballarat,2002-03-01,68.0,180.0
Ballarat,Ballarat,2003-03-01,79.0,200.0
Ballarat,Ballarat,2004-03-01,70.0,218.0
Ballarat,Ballarat,2005-03-01,82.0,220.0
Ballarat,Ballarat,2006-03-01,73.0,240.0
Ballarat,Ballarat,2007-03-01,35.0,245.0
Ballarat,Ballarat,2008-03-01,87.0,255.0
Ballarat,Ballarat,2009-03-01,149.0,270.0
Ballarat,Ballarat,2010-03-01,156.0,298.0
Ballarat,Ballarat,2011-03-01,159.0,320.0
Ballarat,Ballarat,2012-03-01,147.0,320.0
Ballarat,Ballarat,2013-03-01,184.0,333.0
Ballarat,Ballarat,2014-03-01,184.0,350.0
Ballarat,Ballarat,2015-03-01,203.0,350.0
Ballarat,Ballarat,2016-03-01,243.0,350.0
Ballarat,Ballarat,2017-03-01,217.0,350.0
Ballarat,Ballarat,2018-03-01,225.0,360.0
Ballarat,Ballarat,2019-03-01,217.0,370.0
Ballarat,Ballarat,2020-03-01,225.0,400.0
Ballarat,Ballarat,2021-03-01,246.0,400.0
Ballarat,Ballarat,2022-03-01,217.0,420.0
Ballarat,Ballarat,2023-03-01,231.0,440.0
Ballarat,Ballarat,2000-09-01,90.0,170.0
Ballarat,Ballarat,2001-09-01,73.0,180.0
Ballarat,Ballarat,2002-09-01,59.0,185.0
Ballarat,Ballarat,2003-09-01,84.0,200.0
Ballarat,Ballarat,2004-09-01,73.0,220.0
Ballarat,Ballarat,2005-09-01,80.0,220.0
Ballarat,Ballarat,2006-09-01,57.0,240.0
Ballarat,Ballarat,2007-09-01,42.0,268.0
Ballarat,Ballarat,2008-09-01,121.0,260.0
Ballarat,Ballarat,2009-09-01,159.0,270.0
Ballarat,Ballarat,2010-09-01,152.0,310.0
Ballarat,Ballarat,2011-09-01,160.0,330.0
Ballarat,Ballarat,2012-09-01,152.0,320.0
Ballarat,Ballarat,2013-09-01,197.0,340.0
Ballarat,Ballarat,2014-09-01,195.0,350.0
Ballarat,Ballarat,2015-09-01,226.0,350.0
Ballarat,Ballarat,2016-09-01,221.0,350.0
Ballarat,Ballarat,2017-09-01,223.0,360.0
Ballarat,Ballarat,2018-09-01,218.0,360.0
Ballarat,Ballarat,2019-09-01,227.0,390.0
Ballarat,Ballarat,2020-09-01,250.0,393.0
Ballarat,Ballarat,2021-09-01,221.0,420.0
Ballarat,Ballarat,2022-09-01,241.0,430.0
Ballarat,Group Total,2000-12-01,265.0,170.0
Ballarat,Group Total,2001-12-01,233.0,200.0
Ballarat,Group Total,2002-12-01,256.0,228.0
Ballarat,Group Total,2003-12-01,309.0,230.0
Ballarat,Group Total,2004-12-01,327.0,240.0
Ballarat,Group Total,2005-12-01,313.0,250.0
Ballarat,Group Total,2006-12-01,282.0,260.0
Ballarat,Group Total,2007-12-01,328.0,280.0
Ballarat,Group Total,2008-12-01,397.0,290.0
Ballarat,Group Total,2009-12-01,405.0,310.0
Ballarat,Group Total,2010-12-01,383.0,320.0
Ballarat,Group Total,2011-12-01,460.0,350.0
Ballarat,Group Total,2012-12-01,542.0,350.0
Ballarat,Group Total,2013-12-01,590.0,350.0
Ballarat,Group Total,2014-12-01,656.0,350.0
Ballarat,Group Total,2015-12-01,702.0,350.0
Ballarat,Group Total,2016-12-01,722.0,350.0
Ballarat,Group Total,2017-12-01,706.0,360.0
Ballarat,Group Total,2018-12-01,709.0,380.0
Ballarat,Group Total,2019-12-01,841.0,400.0
Ballarat,Group Total,2020-12-01,1100.0,395.0
Ballarat,Group Total,2021-12-01,1177.0,420.0
Ballarat,Group Total,2022-12-01,1261.0,440.0
Ballarat,Group Total,2000-06-01,263.0,165.0
Ballarat,Group Total,2001-06-01,223.0,190.0
Ballarat,Group Total,2002-06-01,247.0,220.0
Ballarat,Group Total,2003-06-01,291.0,230.0
Ballarat,Group Total,2004-06-01,309.0,240.0
Ballarat,Group Total,2005-06-01,334.0,250.0
Ballarat,Group Total,2006-06-01,306.0,260.0
Ballarat,Group Total,2007-06-01,288.0,280.0
Ballarat,Group Total,2008-06-01,361.0,280.0
Ballarat,Group Total,2009-06-01,406.0,300.0
Ballarat,Group Total,2010-06-01,377.0,320.0
Ballarat,Group Total,2011-06-01,416.0,340.0
Ballarat,Group Total,2012-06-01,502.0,350.0
Ballarat,Group Total,2013-06-01,569.0,350.0
Ballarat,Group Total,2014-06-01,626.0,350.0
Ballarat,Group Total,2015-06-01,663.0,350.0
Ballarat,Group Total,2016-06-01,741.0,350.0
Ballarat,Group Total,2017-06-01,708.0,360.0
Ballarat,Group Total,2018-06-01,710.0,370.0
Ballarat,Group Total,2019-06-01,739.0,400.0
Ballarat,Group Total,2020-06-01,1007.0,390.0
Ballarat,Group Total,2021-06-01,1129.0,400.0
Ballarat,Group Total,2022-06-01,1192.0,430.0
Ballarat,Group Total,2000-03-01,275.0,165.0
Ballarat,Group Total,2001-03-01,224.0,185.0
Ballarat,Group Total,2002-03-01,249.0,210.0
Ballarat,Group Total,2003-03-01,273.0,230.0
Ballarat,Group Total,2004-03-01,304.0,243.0
Ballarat,Group Total,2005-03-01,322.0,240.0
Ballarat,Group Total,2006-03-01,321.0,260.0
Ballarat,Group Total,2007-03-01,281.0,275.0
Ballarat,Group Total,2008-03-01,337.0,280.0
Ballarat,Group Total,2009-03-01,406.0,300.0
Ballarat,Group Total,2010-03-01,403.0,315.0
Ballarat,Group Total,2011-03-01,395.0,340.0
Ballarat,Group Total,2012-03-01,474.0,350.0
Ballarat,Group Total,2013-03-01,564.0,350.0
Ballarat,Group Total,2014-03-01,589.0,350.0
Ballarat,Group Total,2015-03-01,662.0,350.0
Ballarat,Group Total,2016-03-01,714.0,350.0
Ballarat,Group Total,2017-03-01,703.0,360.0
Ballarat,Group Total,2018-03-01,748.0,360.0
Ballarat,Group Total,2019-03-01,698.0,390.0
Ballarat,Group Total,2020-03-01,946.0,395.0
Ballarat,Group Total,2021-03-01,1082.0,400.0
Ballarat,Group Total,2022-03-01,1175.0,420.0
Ballarat,Group Total,2023-03-01,1286.0,440.0
Ballarat,Group Total,2000-09-01,271.0,170.0
Ballarat,Group Total,2001-09-01,235.0,200.0
Ballarat,Group Total,2002-09-01,227.0,220.0
Ballarat,Group Total,2003-09-01,313.0,230.0
Ballarat,Group Total,2004-09-01,328.0,240.0
Ballarat,Group Total,2005-09-01,318.0,250.0
Ballarat,Group Total,2006-09-01,297.0,260.0
Ballarat,Group Total,2007-09-01,300.0,280.0
Ballarat,Group Total,2008-09-01,375.0,280.0
Ballarat,Group Total,2009-09-01,411.0,300.0
Ballarat,Group Total,2010-09-01,373.0,320.0
Ballarat,Group Total,2011-09-01,441.0,345.0
Ballarat,Group Total,2012-09-01,504.0,350.0
Ballarat,Group Total,2013-09-01,606.0,350.0
Ballarat,Group Total,2014-09-01,644.0,350.0
Ballarat,Group Total,2015-09-01,677.0,350.0
Ballarat,Group Total,2016-09-01,714.0,350.0
Ballarat,Group Total,2017-09-01,723.0,360.0
Ballarat,Group Total,2018-09-01,711.0,375.0
Ballarat,Group Total,2019-09-01,776.0,400.0
