region,suburb,date,count,median
Ballarat,Ballarat,2000-12-01,15.0,160.0
Ballarat,Ballarat,2001-12-01,12.0,160.0
Ballarat,Ballarat,2002-12-01,16.0,180.0
Ballarat,Ballarat,2003-12-01,19.0,175.0
Ballarat,Ballarat,2004-12-01,24.0,205.0
Ballarat,Ballarat,2005-12-01,39.0,220.0
Ballarat,Ballarat,2006-12-01,33.0,225.0
Ballarat,Ballarat,2007-12-01,25.0,230.0
Ballarat,Ballarat,2008-12-01,81.0,250.0
Ballarat,Ballarat,2009-12-01,75.0,240.0
Ballarat,Ballarat,2010-12-01,85.0,260.0
Ballarat,Ballarat,2011-12-01,89.0,270.0
Ballarat,Ballarat,2012-12-01,104.0,280.0
Ballarat,Ballarat,2013-12-01,109.0,290.0
Ballarat,Ballarat,2014-12-01,106.0,280.0
Ballarat,Ballarat,2015-12-01,129.0,275.0
Ballarat,Ballarat,2016-12-01,113.0,285.0
Ballarat,Ballarat,2017-12-01,121.0,300.0
Ballarat,Ballarat,2018-12-01,125.0,300.0
Ballarat,Ballarat,2019-12-01,99.0,320.0
Ballarat,Ballarat,2020-12-01,102.0,330.0
Ballarat,Ballarat,2021-12-01,78.0,350.0
Ballarat,Ballarat,2022-12-01,87.0,360.0
Ballarat,Ballarat,2000-06-01,11.0,160.0
Ballarat,Ballarat,2001-06-01,14.0,160.0
Ballarat,Ballarat,2002-06-01,11.0,175.0
Ballarat,Ballarat,2003-06-01,20.0,175.0
Ballarat,Ballarat,2004-06-01,21.0,180.0
Ballarat,Ballarat,2005-06-01,29.0,230.0
Ballarat,Ballarat,2006-06-01,39.0,220.0
Ballarat,Ballarat,2007-06-01,29.0,230.0
Ballarat,Ballarat,2008-06-01,52.0,238.0
Ballarat,Ballarat,2009-06-01,87.0,250.0
Ballarat,Ballarat,2010-06-01,79.0,250.0
Ballarat,Ballarat,2011-06-01,75.0,270.0
Ballarat,Ballarat,2012-06-01,90.0,270.0
Ballarat,Ballarat,2013-06-01,125.0,290.0
Ballarat,Ballarat,2014-06-01,108.0,288.0
Ballarat,Ballarat,2015-06-01,100.0,280.0
Ballarat,Ballarat,2016-06-01,138.0,275.0
Ballarat,Ballarat,2017-06-01,102.0,290.0
Ballarat,Ballarat,2018-06-01,136.0,303.0
Ballarat,Ballarat,2019-06-01,109.0,310.0
Ballarat,Ballarat,2020-06-01,98.0,320.0
Ballarat,Ballarat,2021-06-01,86.0,338.0
Ballarat,Ballarat,2022-06-01,78.0,360.0
Ballarat,Ballarat,2000-03-01,17.0,160.0
Ballarat,Ballarat,2001-03-01,12.0,160.0
Ballarat,Ballarat,2002-03-01,12.0,173.0
Ballarat,Ballarat,2003-03-01,18.0,175.0
Ballarat,Ballarat,2004-03-01,22.0,183.0
Ballarat,Ballarat,2005-03-01,20.0,205.0
Ballarat,Ballarat,2006-03-01,45.0,220.0
Ballarat,Ballarat,2007-03-01,27.0,230.0
Ballarat,Ballarat,2008-03-01,43.0,230.0
Ballarat,Ballarat,2009-03-01,86.0,250.0
Ballarat,Ballarat,2010-03-01,76.0,250.0
Ballarat,Ballarat,2011-03-01,83.0,270.0
Ballarat,Ballarat,2012-03-01,86.0,270.0
Ballarat,Ballarat,2013-03-01,120.0,283.0
Ballarat,Ballarat,2014-03-01,95.0,290.0
Ballarat,Ballarat,2015-03-01,110.0,283.0
Ballarat,Ballarat,2016-03-01,128.0,274.0
Ballarat,Ballarat,2017-03-01,111.0,280.0
Ballarat,Ballarat,2018-03-01,127.0,300.0
Ballarat,Ballarat,2019-03-01,122.0,310.0
Ballarat,Ballarat,2020-03-01,94.0,320.0
Ballarat,Ballarat,2021-03-01,92.0,330.0
Ballarat,Ballarat,2022-03-01,79.0,350.0
Ballarat,Ballarat,2023-03-01,109.0,365.0
Ballarat,Ballarat,2000-09-01,12.0,153.0
Ballarat,Ballarat,2001-09-01,14.0,163.0
Ballarat,Ballarat,2002-09-01,12.0,173.0
Ballarat,Ballarat,2003-09-01,21.0,175.0
Ballarat,Ballarat,2004-09-01,22.0,183.0
Ballarat,Ballarat,2005-09-01,35.0,230.0
Ballarat,Ballarat,2006-09-01,40.0,225.0
Ballarat,Ballarat,2007-09-01,19.0,225.0
Ballarat,Ballarat,2008-09-01,67.0,235.0
Ballarat,Ballarat,2009-09-01,86.0,250.0
Ballarat,Ballarat,2010-09-01,80.0,255.0
Ballarat,Ballarat,2011-09-01,78.0,270.0
Ballarat,Ballarat,2012-09-01,101.0,280.0
Ballarat,Ballarat,2013-09-01,117.0,290.0
Ballarat,Ballarat,2014-09-01,107.0,280.0
Ballarat,Ballarat,2015-09-01,120.0,280.0
Ballarat,Ballarat,2016-09-01,127.0,275.0
Ballarat,Ballarat,2017-09-01,98.0,295.0
Ballarat,Ballarat,2018-09-01,134.0,308.0
Ballarat,Ballarat,2019-09-01,110.0,310.0
Ballarat,Ballarat,2020-09-01,98.0,330.0
Ballarat,Ballarat,2021-09-01,83.0,350.0
Ballarat,Ballarat,2022-09-01,82.0,360.0
Ballarat,Group Total,2000-12-01,73.0,160.0
Ballarat,Group Total,2001-12-01,71.0,170.0
Ballarat,Group Total,2002-12-01,55.0,180.0
Ballarat,Group Total,2003-12-01,73.0,190.0
Ballarat,Group Total,2004-12-01,86.0,198.0
Ballarat,Group Total,2005-12-01,103.0,210.0
Ballarat,Group Total,2006-12-01,128.0,220.0
Ballarat,Group Total,2007-12-01,114.0,230.0
Ballarat,Group Total,2008-12-01,161.0,240.0
Ballarat,Group Total,2009-12-01,133.0,240.0
Ballarat,Group Total,2010-12-01,155.0,255.0
Ballarat,Group Total,2011-12-01,168.0,270.0
Ballarat,Group Total,2012-12-01,220.0,280.0
Ballarat,Group Total,2013-12-01,229.0,285.0
Ballarat,Group Total,2014-12-01,246.0,285.0
Ballarat,Group Total,2015-12-01,267.0,280.0
Ballarat,Group Total,2016-12-01,242.0,280.0
Ballarat,Group Total,2017-12-01,224.0,290.0
Ballarat,Group Total,2018-12-01,251.0,300.0
Ballarat,Group Total,2019-12-01,194.0,310.0
Ballarat,Group Total,2020-12-01,217.0,320.0
Ballarat,Group Total,2021-12-01,167.0,350.0
