sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
201011001,Alfredton,1952.0,4770,651,2013,0.1364779874213836,0.4220125786163522,1585.0,0.2315457413249211,34.0
201011002,Ballarat,1573.0,4091,904,1220,0.2209728672696162,0.2982155952089954,1327.0,0.1853805576488319,45.0
201011005,Buninyong,1927.0,2046,320,828,0.1564027370478983,0.4046920821114369,1634.0,0.1793145654834761,42.0
201011006,Delacombe,1627.0,3457,525,1193,0.1518657795776685,0.3450969048307781,1272.0,0.2790880503144654,33.0
201011007,Smythes Creek,2065.0,1130,148,509,0.1309734513274336,0.4504424778761062,1583.0,0.3044851547694251,41.0
201011008,Wendouree - Miners Rest,1191.0,5560,1397,1258,0.2512589928057554,0.2262589928057554,958.0,0.24321503131524,38.0
201011481,Ballarat East - Warrenheip,1209.0,3686,916,831,0.2485078676071622,0.2254476397178513,,,41.0
201011482,Ballarat North - Invermay,1644.0,4943,969,1694,0.1960347966821768,0.3427068581832895,,,41.0
201011483,Canadian - Mount Clear,1396.0,4321,890,1268,0.205970840083314,0.293450590141171,,,37.0
201011484,Sebastopol - Redan,1020.0,5280,1554,908,0.2943181818181818,0.1719696969696969,,,39.0
201021009,Bacchus Marsh Surrounds,1731.0,1970,363,703,0.1842639593908629,0.3568527918781726,1369.0,0.264426588750913,43.0
201021010,Creswick - Clunes,1238.0,2793,710,678,0.2542069459362692,0.2427497314715359,994.0,0.2454728370221328,49.0
201021011,Daylesford,1343.0,3508,877,886,0.25,0.2525655644241733,1016.0,0.3218503937007874,53.0
201021012,Gordon (Vic.),1813.0,1850,326,729,0.1762162162162162,0.3940540540540541,1329.0,0.36418359668924,44.0
201031013,Avoca,985.0,1272,398,229,0.3128930817610063,0.1800314465408805,791.0,0.2452591656131479,53.0
201031014,Beaufort,1193.0,1512,416,361,0.2751322751322751,0.2387566137566137,957.0,0.2466039707419017,49.0
201031015,Golden Plains - North,1455.0,1522,332,455,0.2181340341655716,0.2989487516425755,1124.0,0.2944839857651246,43.0
201031016,Maryborough (Vic.),876.0,3258,1096,443,0.336402701043585,0.1359729895641498,769.0,0.1391417425227568,51.0
201031017,Maryborough Surrounds,956.0,1972,626,351,0.3174442190669371,0.1779918864097363,782.0,0.2225063938618925,53.0
202011018,Bendigo,1267.0,5456,1343,1369,0.2461510263929618,0.25091642228739,1029.0,0.2312925170068027,39.0
202011019,California Gully - Eaglehawk,1223.0,4680,1110,1125,0.2371794871794871,0.2403846153846154,951.0,0.2860147213459516,38.0
202011020,East Bendigo - Kennington,1408.0,4959,1150,1414,0.2319015930631175,0.2851381326880419,1154.0,0.2201039861351819,44.0
202011021,Flora Hill - Spring Gully,1465.0,3382,733,1013,0.2167356593731519,0.2995269071555292,1169.0,0.253207869974337,38.0
202011022,Kangaroo Flat - Golden Square,1238.0,7722,1800,1949,0.2331002331002331,0.2523957523957524,1060.0,0.1679245283018867,42.0
202011023,Maiden Gully,2203.0,1442,126,726,0.087378640776699,0.5034674063800277,1828.0,0.2051422319474836,37.0
202011024,Strathfieldsaye,2217.0,2846,312,1388,0.1096275474349964,0.4877020379479972,1851.0,0.1977309562398703,39.0
202011025,White Hills - Ascot,1689.0,4543,611,1706,0.1344926260180497,0.3755227823024433,1393.0,0.2124910265613783,34.0
202021026,Bendigo Surrounds - South,2040.0,2237,271,994,0.1211443898077782,0.4443451050514081,1582.0,0.2895069532237674,41.0
202021027,Castlemaine,1200.0,4160,1134,1009,0.2725961538461538,0.2425480769230769,965.0,0.2435233160621761,50.0
202021028,Castlemaine Surrounds,1317.0,3281,826,874,0.2517525144772935,0.2663822005486132,1043.0,0.2627037392138063,52.0
202021029,Heathcote,1115.0,1780,496,410,0.2786516853932584,0.2303370786516854,895.0,0.2458100558659217,53.0
202021030,Kyneton,1695.0,3207,604,1091,0.1883380106018085,0.3401933270969753,1269.0,0.3356973995271867,46.0
202021031,Woodend,2113.0,2118,377,839,0.1779981114258734,0.3961284230406043,1689.0,0.251036116044997,46.0
202031032,Bendigo Surrounds - North,1454.0,1527,313,469,0.2049770792403405,0.3071381794368042,1187.0,0.2249368155012636,46.0
202031033,Loddon,1027.0,2534,732,455,0.2888713496448303,0.1795580110497237,824.0,0.2463592233009708,52.0
203011034,Bannockburn,2159.0,1959,232,922,0.1184277692700357,0.4706482899438489,1710.0,0.2625730994152047,36.0
