sa2_code,sa2_name,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000
201011001,Alfredton,4770,651,2013,0.13647798742138365,0.4220125786163522
201011002,Ballarat,4091,904,1220,0.22097286726961624,0.2982155952089954
201011005,Buninyong,2046,320,828,0.15640273704789834,0.4046920821114369
201011006,Delacombe,3457,525,1193,0.1518657795776685,0.34509690483077815
201011007,Smythes Creek,1130,148,509,0.13097345132743363,0.4504424778761062
201011008,Wendouree - Miners Rest,5560,1397,1258,0.2512589928057554,0.2262589928057554
201011481,Ballarat East - Warrenheip,3686,916,831,0.24850786760716223,0.22544763971785134
201011482,Ballarat North - Invermay,4943,969,1694,0.19603479668217683,0.3427068581832895
201011483,Canadian - Mount Clear,4321,890,1268,0.20597084008331404,0.29345059014117103
201011484,Sebastopol - Redan,5280,1554,908,0.2943181818181818,0.17196969696969697
201021009,Bacchus Marsh Surrounds,1970,363,703,0.18426395939086293,0.3568527918781726
201021010,Creswick - Clunes,2793,710,678,0.25420694593626925,0.24274973147153597
201021011,Daylesford,3508,877,886,0.25,0.2525655644241733
201021012,Gordon (Vic.),1850,326,729,0.17621621621621622,0.3940540540540541
201031013,Avoca,1272,398,229,0.3128930817610063,0.1800314465408805
201031014,Beaufort,1512,416,361,0.2751322751322751,0.23875661375661375
201031015,Golden Plains - North,1522,332,455,0.21813403416557162,0.29894875164257556
201031016,Maryborough (Vic.),3258,1096,443,0.336402701043585,0.1359729895641498
201031017,Maryborough Surrounds,1972,626,351,0.3174442190669371,0.17799188640973632
202011018,Bendigo,5456,1343,1369,0.24615102639296188,0.25091642228739003
202011019,California Gully - Eaglehawk,4680,1110,1125,0.23717948717948717,0.2403846153846154
202011020,East Bendigo - Kennington,4959,1150,1414,0.23190159306311756,0.28513813268804195
202011021,Flora Hill - Spring Gully,3382,733,1013,0.21673565937315198,0.29952690715552927
202011022,Kangaroo Flat - Golden Square,7722,1800,1949,0.2331002331002331,0.2523957523957524
202011023,Maiden Gully,1442,126,726,0.08737864077669903,0.5034674063800277
202011024,Strathfieldsaye,2846,312,1388,0.10962754743499649,0.4877020379479972
202011025,White Hills - Ascot,4543,611,1706,0.13449262601804976,0.3755227823024433
202021026,Bendigo Surrounds - South,2237,271,994,0.12114438980777828,0.4443451050514081
202021027,Castlemaine,4160,1134,1009,0.2725961538461538,0.24254807692307692
202021028,Castlemaine Surrounds,3281,826,874,0.2517525144772935,0.2663822005486132
202021029,Heathcote,1780,496,410,0.2786516853932584,0.2303370786516854
202021030,Kyneton,3207,604,1091,0.18833801060180855,0.34019332709697536
202021031,Woodend,2118,377,839,0.17799811142587346,0.39612842304060436
202031032,Bendigo Surrounds - North,1527,313,469,0.20497707924034053,0.3071381794368042
202031033,Loddon,2534,732,455,0.2888713496448303,0.17955801104972377
203011034,Bannockburn,1959,232,922,0.11842776927003573,0.4706482899438489
203011035,Golden Plains - South,2235,304,926,0.1360178970917226,0.41431767337807607
203011036,Winchelsea,1860,299,717,0.16075268817204302,0.38548387096774195
203021037,Belmont,5401,1175,1757,0.21755230512867987,0.3253101277541196
203021039,Geelong,4912,1068,1561,0.21742671009771988,0.3177931596091205
203021040,Geelong West - Hamlyn Heights,7406,1481,2628,0.19997299486902512,0.3548474210099919
203021042,Highton,6421,1036,2675,0.1613455847998754,0.4166017754243887
203021043,Lara,5756,865,2455,0.15027797081306463,0.4265114662960389
