sa2_code,sa2_name,median_hh_income
201011001,Alfredton,1952.0
201011002,Ballarat,1573.0
201011005,Buninyong,1927.0
201011006,Delacombe,1627.0
201011007,Smythes Creek,2065.0
201011008,Wendouree - Miners Rest,1191.0
201011481,Ballarat East - Warrenheip,1209.0
201011482,Ballarat North - Invermay,1644.0
201011483,Canadian - Mount Clear,1396.0
201011484,Sebastopol - Redan,1020.0
201021009,Bacchus Marsh Surrounds,1731.0
201021010,Creswick - Clunes,1238.0
201021011,Daylesford,1343.0
201021012,Gordon (Vic.),1813.0
201031013,Avoca,985.0
201031014,Beaufort,1193.0
201031015,Golden Plains - North,1455.0
201031016,Maryborough (Vic.),876.0
201031017,Maryborough Surrounds,956.0
202011018,Bendigo,1267.0
202011019,California Gully - Eaglehawk,1223.0
202011020,East Bendigo - Kennington,1408.0
202011021,Flora Hill - Spring Gully,1465.0
202011022,Kangaroo Flat - Golden Square,1238.0
202011023,Maiden Gully,2203.0
202011024,Strathfieldsaye,2217.0
202011025,White Hills - Ascot,1689.0
202021026,Bendigo Surrounds - South,2040.0
202021027,Castlemaine,1200.0
202021028,Castlemaine Surrounds,1317.0
202021029,Heathcote,1115.0
202021030,Kyneton,1695.0
202021031,Woodend,2113.0
202031032,Bendigo Surrounds - North,1454.0
202031033,Loddon,1027.0
203011034,Bannockburn,2159.0
203011035,Golden Plains - South,1898.0
203011036,Winchelsea,1845.0
203021037,Belmont,1510.0
203021039,Geelong,1542.0
203021040,Geelong West - Hamlyn Heights,1719.0
203021042,Highton,2111.0
203021043,Lara,1966.0
203021044,Leopold,1589.0
203021045,Newcomb - Moolap,1161.0
203021046,Newtown (Vic.),2092.0
203021047,North Geelong - Bell Park,1386.0
203021485,Charlemont,1988.0
203021486,Corio - Lovely Banks,1230.0
203021487,Grovedale - Mount Duneed,1779.0
203021488,Norlane,926.0
203031048,Clifton Springs,1424.0
203031049,Lorne - Anglesea,1684.0
203031051,Portarlington,1139.0
203031052,Point Lonsdale - Queenscliff,1521.0
203031053,Torquay,2281.0
203031489,Barwon Heads - Armstrong Creek,2201.0
203031490,Ocean Grove,1882.0
204011054,Alexandra,1135.0
204011055,Euroa,1133.0
204011056,Kilmore - Broadford,1574.0
204011057,Mansfield (Vic.),1331.0
204011058,Nagambie,1293.0
204011059,Seymour,1165.0
204011060,Seymour Surrounds,1900.0
204011061,Upper Yarra Valley,900.0
204011062,Yea,1222.0
204021063,Benalla,1142.0
204021064,Benalla Surrounds,1363.0
204021065,Rutherglen,1344.0
204021066,Wangaratta,1242.0
204021067,Wangaratta Surrounds,1501.0
204031068,Beechworth,1434.0
204031069,Bright - Mount Beauty,1397.0
204031070,Chiltern - Indigo Valley,1493.0
204031071,Myrtleford,1226.0
204031072,Towong,1280.0
204031073,West Wodonga,1470.0
204031075,Yackandandah,1833.0
204031491,Baranduda - Leneva,2143.0
204031492,Wodonga,1214.0
205011076,Drouin,1452.0
205011077,Mount Baw Baw Region,1456.0
205011078,Trafalgar (Vic.),1452.0
205011079,Warragul,1590.0
205021080,Alps - East,0.0
205021081,Bairnsdale,1194.0
205021082,Bruthen - Omeo,1323.0
205021083,Lake King,0.0
205021084,Lakes Entrance,1014.0
205021085,Orbost,926.0
205021086,Paynesville,1071.0
205031087,Foster,1110.0
205031088,French Island,1014.0
205031089,Korumburra,1384.0
205031090,Leongatha,1315.0
205031091,Phillip Island,1175.0
205031092,Wilsons Promontory,1333.0
205031093,Wonthaggi - Inverloch,1154.0
205041094,Churchill,1409.0
205041095,Moe - Newborough,1017.0
205041096,Morwell,942.0
205041098,Yallourn North - Glengarry,1656.0
205041493,Traralgon - East,1386.0
205041494,Traralgon - West,1635.0
205051099,Alps - West,699.0
205051100,Longford - Loch Sport,1079.0
205051101,Maffra,1324.0
205051102,Rosedale,1487.0
205051103,Sale,1331.0
205051104,Yarram,1012.0
206011106,Brunswick East,2087.0
206011107,Brunswick West,1786.0
206011109,Pascoe Vale South,2245.0
206011495,Brunswick - North,2062.0
206011496,Brunswick - South,2126.0
206011497,Coburg - East,1944.0
206011498,Coburg - West,2186.0
206021110,Alphington - Fairfield,2112.0
206021112,Thornbury,1978.0
206021499,Northcote - East,2251.0
206021500,Northcote - West,2318.0
206031113,Ascot Vale,2192.0
206031115,Flemington,1571.0
206031116,Moonee Ponds,2111.0
206031501,Essendon (West) - Aberfeldie,2195.0
206031502,Essendon - East,2055.0
206041117,Carlton,1289.0
206041118,Docklands,1956.0
206041119,East Melbourne,2345.0
206041120,Flemington Racecourse,2178.0
206041121,Kensington (Vic.),2216.0
206041124,Parkville,1885.0
206041125,South Yarra - West,2259.0
206041127,West Melbourne - Industrial,0.0
206041503,Melbourne CBD - East,1511.0
206041504,Melbourne CBD - North,1089.0
206041505,Melbourne CBD - West,1446.0
206041506,North Melbourne,1718.0
206041507,Royal Botanic Gardens Victoria,7000.0
206041508,Southbank (West) - South Wharf,2054.0
206041509,Southbank - East,1880.0
206041510,West Melbourne - Residential,1784.0
206051128,Albert Park,2303.0
206051129,Elwood,2093.0
206051130,Port Melbourne,2347.0
206051134,St Kilda East,1988.0
206051511,Port Melbourne Industrial,2407.0
206051512,South Melbourne,2103.0
206051513,St Kilda - Central,1788.0
206051514,St Kilda - West,1849.0
206061135,Armadale,2207.0
206061136,Prahran - Windsor,2098.0
206061138,Toorak,2538.0
206061515,South Yarra - North,2042.0
206061516,South Yarra - South,2001.0
206071139,Abbotsford,2197.0
206071140,Carlton North - Princes Hill,2355.0
206071141,Collingwood,2130.0
206071142,Fitzroy,2194.0
206071143,Fitzroy North,2300.0
206071145,Clifton Hill - Alphington,2529.0
206071517,Richmond (South) - Cremorne,2577.0
206071518,Richmond - North,2009.0
207011146,Ashburton (Vic.),2743.0
207011147,Balwyn,2017.0
207011148,Balwyn North,2350.0
207011149,Camberwell,2472.0
207011150,Glen Iris - East,2914.0
207011152,Hawthorn East,2228.0
207011154,Kew East,2485.0
207011155,Surrey Hills (West) - Canterbury,2709.0
207011519,Hawthorn - North,2300.0
207011520,Hawthorn - South,2055.0
207011521,Kew - South,2577.0
207011522,Kew - West,2459.0
207021156,Bulleen,1812.0
207021157,Doncaster,1595.0
207021159,Templestowe,2163.0
207021160,Templestowe Lower,1919.0
207021424,Doncaster East - North,1934.0
207021425,Doncaster East - South,1656.0
207031161,Blackburn,2050.0
207031162,Blackburn South,1861.0
207031163,Box Hill,1441.0
207031164,Box Hill North,1920.0
207031165,Burwood (Vic.),1564.0
207031166,Burwood East,1610.0
207031167,Surrey Hills (East) - Mont Albert,2388.0
208011168,Beaumaris,2622.0
208011169,Brighton (Vic.),2718.0
208011170,Brighton East,2720.0
208011171,Highett (West) - Cheltenham,2291.0
208011172,Hampton,2415.0
208011173,Sandringham - Black Rock,2356.0
208021174,Bentleigh - McKinnon,2240.0
208021176,Carnegie,1873.0
208021177,Caulfield - North,2184.0
208021178,Caulfield - South,2289.0
208021179,Elsternwick,2171.0
208021180,Hughesdale,2057.0
208021181,Murrumbeena,2089.0
208021182,Ormond - Glen Huntly,1978.0
208021426,Bentleigh East - North,2250.0
208021427,Bentleigh East - South,2173.0
208031183,Aspendale Gardens - Waterways,2348.0
208031184,Braeside,933.0
208031185,Carrum - Patterson Lakes,1853.0
208031186,Chelsea - Bonbeach,1718.0
208031187,Chelsea Heights,1867.0
208031188,Highett (East) - Cheltenham ,1853.0
208031189,Edithvale - Aspendale,2223.0
208031190,Mentone,1889.0
208031191,Moorabbin - Heatherton,2046.0
208031192,Moorabbin Airport,0.0
208031193,Mordialloc - Parkdale,2090.0
208041194,Malvern - Glen Iris,2364.0
208041195,Malvern East,2386.0
209011196,Bundoora - East,1705.0
209011197,Greensborough,2078.0
209011198,Heidelberg - Rosanna,2102.0
209011199,Heidelberg West,1618.0
209011200,Ivanhoe,2280.0
209011201,Ivanhoe East - Eaglemont,2914.0
209011202,Montmorency - Briar Hill,2068.0
209011203,Viewbank - Yallambie,2025.0
209011204,Watsonia,1961.0
209021205,Kingsbury,1727.0
209021428,Preston - East,1787.0
209021429,Preston - West,1970.0
209021523,Reservoir - North East,1544.0
209021524,Reservoir - North West,1442.0
