rental_id,top_distances,top_tram_ids
17745632,"[85.48, 125.58, 130.44, 1160.58, 1385.31]","[950, 9156, 10311, 20528, 20529]"
17682583,"[85.48, 125.58, 130.44, 1160.58, 1385.31]","[950, 9156, 10311, 20528, 20529]"
17640056,"[115.94, 378.13, 428.06, 20694.89, 23743.12]","[18487, 992, 18486, 1083, 18485]"
17727285,"[468.24, 730.43, 780.36, 21047.19, 24095.41]","[18487, 992, 18486, 1083, 18485]"
17674738,"[435.43, 627.47, 939.6, 11287.8, 21206.42]","[18488, 18487, 18486, 4945, 1083]"
17704494,"[223.71, 485.91, 535.84, 10884.04, 20802.66]","[18487, 992, 18486, 4945, 1083]"
17729408,"[223.71, 485.91, 535.84, 10884.04, 20802.66]","[18487, 992, 18486, 4945, 1083]"
17723844,"[262.8, 524.99, 574.92, 10923.12, 20841.75]","[18487, 992, 18486, 4945, 1083]"
17727079,"[121.87, 1960.47, 2244.21, 3807.91, 22075.77]","[940, 11285, 12599, 19024, 18438]"
17753005,"[136.93, 535.88, 1702.67, 1975.54, 2259.28]","[940, 19025, 409, 11285, 12599]"
17730968,"[553.02, 765.52, 2118.75, 2391.62, 2675.36]","[940, 946, 409, 11285, 12599]"
17714000,"[3045.65, 3160.73, 22215.91, 22277.97, 22416.75]","[1185, 1789, 1575, 1291, 1696]"
17710410,"[206.83, 321.62, 363.86, 1850.35, 3159.9]","[980, 7354, 968, 1185, 2232]"
17660863,"[48.22, 207.91, 250.16, 1736.65, 3046.2]","[980, 7354, 968, 1185, 2232]"
17733081,"[455.68, 2725.79, 3038.34, 4289.49, 22042.12]","[19025, 12599, 18439, 19024, 18438]"
16862087,"[438.05, 2708.16, 3020.7, 4271.86, 22024.49]","[19025, 12599, 18439, 19024, 18438]"
16883740,"[442.54, 2712.65, 3025.2, 4276.35, 22028.98]","[19025, 12599, 18439, 19024, 18438]"
16883750,"[438.05, 2708.16, 3020.7, 4271.86, 22024.49]","[19025, 12599, 18439, 19024, 18438]"
16893445,"[442.54, 2712.65, 3025.2, 4276.35, 22028.98]","[19025, 12599, 18439, 19024, 18438]"
17745052,"[199.05, 2022.92, 2579.53, 2892.08, 22411.09]","[19025, 409, 12599, 18439, 18438]"
17743887,"[369.01, 831.03, 1869.45, 2426.06, 2738.6]","[19025, 398, 409, 12599, 18439]"
17752014,"[475.75, 872.27, 1910.69, 2467.3, 2779.84]","[19025, 398, 409, 12599, 18439]"
17752085,"[440.91, 824.2, 1862.62, 2419.23, 2731.78]","[19025, 398, 409, 12599, 18439]"
17752427,"[440.91, 824.2, 1862.62, 2419.23, 2731.78]","[19025, 398, 409, 12599, 18439]"
17538748,"[538.8, 922.1, 1960.52, 2517.13, 2829.67]","[19025, 398, 409, 12599, 18439]"
17645812,"[901.67, 1576.75, 2615.17, 3171.77, 3484.32]","[19025, 398, 409, 12599, 18439]"
17565228,"[447.69, 1128.53, 2166.95, 2723.55, 3036.1]","[19027, 398, 409, 12599, 18439]"
17693839,"[580.04, 1259.6, 2298.02, 2854.63, 2894.53]","[19027, 398, 409, 12599, 18441]"
17746494,"[1193.86, 22481.59, 22543.66, 22682.44, 24627.35]","[18455, 1575, 1291, 1696, 18654]"
17225725,"[1598.59, 11212.25, 25612.99, 25775.48, 26383.97]","[1292, 17308, 17307, 17306, 378]"
17701277,"[1507.04, 10023.83, 24424.56, 24587.05, 25195.54]","[1292, 17308, 17307, 17306, 378]"
17737046,"[575.3, 11469.1, 20294.96, 20457.46, 21065.94]","[1292, 17308, 17307, 17306, 378]"
17741861,"[1286.57, 11373.17, 25773.9, 25936.39, 26544.88]","[1292, 17308, 17307, 17306, 378]"
17748756,"[2014.81, 12115.96, 26110.8, 26273.29, 26881.78]","[1292, 17308, 17307, 17306, 378]"
17675013,"[2354.09, 10548.26, 24642.37, 24804.86, 25413.35]","[1292, 17308, 17307, 17306, 378]"
17714848,"[2522.85, 11028.7, 25122.81, 25285.3, 25893.79]","[1292, 17308, 17307, 17306, 378]"
17669369,"[5410.84, 17003.36, 30420.29, 30582.79, 31191.27]","[1292, 17308, 17307, 17306, 378]"
16495481,"[3416.37, 11686.23, 26444.79, 26607.28, 27215.77]","[1292, 17308, 17307, 17306, 378]"
16633762,"[4565.0, 10646.84, 26782.25, 26944.74, 27553.23]","[1292, 17308, 17307, 17306, 378]"
17309286,"[3722.2, 11992.05, 26750.62, 26913.11, 27521.6]","[1292, 17308, 17307, 17306, 378]"
17637796,"[4158.2, 10745.69, 26881.09, 27043.59, 27652.07]","[1292, 17308, 17307, 17306, 378]"
17693412,"[3371.96, 10445.6, 24809.52, 24972.01, 25580.5]","[1292, 17308, 17307, 17306, 378]"
17704237,"[4397.75, 10479.59, 26615.0, 26777.49, 27385.98]","[1292, 17308, 17307, 17306, 378]"
17708092,"[4243.01, 4542.56, 11664.89, 21924.1, 22240.27]","[1292, 17308, 17307, 17306, 378]"
17711487,"[4182.88, 4482.43, 13108.49, 21990.86, 22307.03]","[1292, 17308, 17307, 17306, 378]"
17731426,"[4920.25, 5312.97, 11657.84, 21917.05, 22233.22]","[1292, 17308, 17307, 17306, 378]"
17736832,"[2805.86, 3105.41, 12023.58, 20613.84, 20930.01]","[1292, 17308, 17307, 17306, 378]"
17737725,"[4300.15, 4599.7, 13225.76, 22108.13, 22424.3]","[1292, 17308, 17307, 17306, 378]"
17751599,"[3737.9, 4037.44, 11901.0, 21545.87, 21862.04]","[1292, 17308, 17307, 17306, 378]"
17753387,"[2816.72, 3116.26, 12138.11, 20624.69, 20940.86]","[1292, 17308, 17307, 17306, 378]"
15312318,"[3222.15, 5523.39, 18216.43, 18260.3, 18532.6]","[1292, 17308, 17306, 17307, 378]"
15599405,"[3393.54, 5694.79, 18387.83, 18704.0, 18892.86]","[1292, 17308, 17306, 378, 17307]"
15901836,"[4075.25, 6376.49, 17816.8, 19069.53, 19385.7]","[1292, 17308, 17307, 17306, 378]"
16466845,"[1647.94, 3949.19, 13338.97, 16642.23, 16958.4]","[1292, 17308, 17307, 17306, 378]"
16730456,"[3479.85, 5781.09, 17740.32, 18474.13, 18790.3]","[1292, 17308, 17307, 17306, 378]"
