suburb,postcode
Abbotsford,3067
Aberfeldie,3040
Aberfeldy,3825
Acheron,3714
Addington,3352
Agnes,3962
Aireys Inlet,3231
Airport West,3042
Albanvale,3021
Albert Park,3206
Alberton,3971
Albion,3020
Alexandra,3714
Alfredton,3350
Allans Flat,3691
Allansford,3277
Allendale,3364
Allestree,3305
Alma,3465
Almurta,3979
Alphington,3078
Altona,3018
Altona Meadows,3028
Altona North,3025
Alvie,3249
Amphitheatre,3377
Anakie,3221
Ancona,3715
Anglesea,3230
Antwerp,3414
Apollo Bay,3615607
Appin Park,3677
Apsley,3319
Ararat,3377
Arcadia,3631
Archies Creek,3995
Ardeer,3022
Ardmona,3629
Areegra,3480
Armadale,3143
Armadale North,3143
Arnold,3551
Arthurs Creek,3099
Arthurs Seat,3936
Ascot,3364
Ascot Vale,3032
Ashbourne,3442
Ashburton,3147
Ashwood,3147
Aspendale,3195
Aspendale Gardens,3195
Athlone,3818
Attwood,3049
Avenel,3664
Avoca,3467
Avondale Heights,3034
Avonsleigh,3782
Axedale,3551
Baarmutha,3747
Bacchus Marsh,3340
Baddaginnie,3670
Bailieston,3608
Bairnsdale,3875
Bakery Hill,3354
Balaclava,3183
Ballan,3342
Ballarat,3350
Ballarat,3353
Ballarat Mc,3354
Ballarat North,3350
Ballarat West,3350
Balliang,3340
Balmattum,3666
Balmoral,3407
Balnarring,3926
Balook,3971
Balwyn,3103
Balwyn North,3104
Bamawm,3561
Bambra,3241
Bandiana Milpo,3694
Bangholme,3175
Bannockburn,3331
Banyena,3388
Banyule,3084
Baranduda,3691
Baringhup,3463
Barkers Creek,3451
Barkly,3381
Barkstead,3352
Barmah,3639
Barnadown,3557
Barnawartha,3688
Barongarook,3249
Barrabool,3221
Barramunga,3249
Barunah Park,3329
Barwon Downs,3243
Barwon Heads,3227
Bass,3991
Batesford,3221
Baxter,3911
Bayindeen,3375
Bayles,3981
Bayswater,3153
Bayswater North,3153
Beaconsfield,3807
Beaconsfield Upper,3808
Bealiba,3475
Beaufort,3373
Beaumaris,3193
Bedford Road,3135
Beeac,3251
Beech Forest,3237
Beechworth,3747
Belgrave,3160
Bell Park,3215
Bell Post Hill,3215
Bellarine,3221
Bellbrae,3228
Bellbridge,3691
Belmont,3216
Belvedere Park,3198
Bemm River,3889
Bena,3946
Benalla,3671
