suburb,postcode,listing_count
MELBOURNE,3000,300
SOUTHBANK,3006,300
TARNEIT,3029,300
TRUGANINA,3029,220
SOUTH YARRA,3141,209
POINT COOK,3030,203
WERRIBEE,3030,199
ST KILDA,3182,170
DOCKLANDS,3008,162
FOOTSCRAY,3011,162
CLAYTON,3168,155
CRAIGIEBURN,3064,145
CARLTON,3053,135
PAKENHAM,3810,132
WYNDHAM VALE,3024,131
NORTH MELBOURNE,3051,122
BERWICK,3806,115
BOX HILL,3128,111
SHEPPARTON,3630,108
RESERVOIR,3073,107
SOUTH MELBOURNE,3205,104
RICHMOND,3121,103
WOLLERT,3750,96
MELTON SOUTH,3338,92
PRAHRAN,3181,87
HOPPERS CROSSING,3029,86
OFFICER,3809,85
DONNYBROOK,3064,85
WEST MELBOURNE,3003,85
BRUNSWICK,3056,84
FRANKSTON,3199,81
PORT MELBOURNE,3207,81
PRESTON,3072,79
SUNBURY,3429,78
GLEN WAVERLEY,3150,72
DANDENONG,3175,72
KALKALLO,3064,71
HAWTHORN,3122,67
CLYDE,3978,67
CARNEGIE,3163,66
MICKLEHAM,3064,65
TRARALGON,3844,64
BRUNSWICK WEST,3055,62
ELWOOD,3184,62
MORWELL,3840,62
WODONGA,3690,60
NOBLE PARK,3174,60
WARRNAMBOOL,3280,60
ROCKBANK,3335,60
ST KILDA EAST,3183,60
DONCASTER,3108,59
CAULFIELD NORTH,3161,59
CRANBOURNE,3977,58
EPPING,3076,58
GLENROY,3046,58
BRUNSWICK EAST,3057,57
MALVERN EAST,3145,56
WALLAN,3756,56
IVANHOE,3079,56
BRIGHTON,3186,55
ST ALBANS,3021,55
BENDIGO,3550,55
ESSENDON,3040,54
COBURG,3058,53
MOONEE PONDS,3039,52
BEVERIDGE,3753,52
KEW,3101,51
NORTHCOTE,3070,50
HAMPTON PARK,3976,50
HAWTHORN EAST,3123,49
NARRE WARREN,3805,49
BURWOOD,3125,49
BENTLEIGH EAST,3165,48
MERNDA,3754,48
GLEN IRIS,3146,48
MILL PARK,3082,47
BUNDOORA,3083,46
LARA,3212,46
CAMBERWELL,3124,43
THORNBURY,3071,41
MARIBYRNONG,3032,41
TOORAK,3142,40
CRANBOURNE NORTH,3977,40
CLAYTON SOUTH,3169,40
MALVERN,3144,39
KENSINGTON,3031,39
FERNTREE GULLY,3156,38
DOREEN,3754,38
WEST FOOTSCRAY,3012,38
SOUTH MORANG,3752,37
SEAFORD,3198,37
ALTONA MEADOWS,3028,37
MITCHAM,3132,37
MOUNT WAVERLEY,3149,36
ASCOT VALE,3032,36
ARMADALE,3143,36
CHELTENHAM,3192,36
WARRAGUL,3820,35
WENDOUREE,3355,35
ALTONA NORTH,3025,35
ABBOTSFORD,3067,35
CORIO,3214,35
SPRINGVALE,3171,34
THOMASTOWN,3074,34
LALOR,3075,34
HEIDELBERG HEIGHTS,3081,33
BENTLEIGH,3204,33
TORQUAY,3228,33
NORLANE,3214,32
YARRAVILLE,3013,32
SEBASTOPOL,3356,32
FLEMINGTON,3031,32
MURRUMBEENA,3163,32
ROSEBUD,3939,31
COLLINGWOOD,3066,31
PARKVILLE,3052,31
RYE,3941,31
ELSTERNWICK,3185,30
FITZROY NORTH,3068,30
EAST MELBOURNE,3002,30
HIGHTON,3216,30
CARRUM DOWNS,3201,30
BLACKBURN,3130,30
DONCASTER EAST,3109,29
ALPHINGTON,3078,29
RINGWOOD,3134,28
PASCOE VALE,3044,28
MEADOW HEIGHTS,3048,28
GREENVALE,3059,28
FITZROY,3065,28
MENTONE,3194,28
WINDSOR,3181,28
CAROLINE SPRINGS,3023,28
SALE,3850,28
BALWYN NORTH,3104,27
BELMONT,3216,27
HEIDELBERG WEST,3081,27
BROADMEADOWS,3047,27
HEIDELBERG,3084,27
AIRPORT WEST,3042,26
MELTON,3337,26
DROUIN,3818,26
KEYSBOROUGH,3173,26
DEER PARK,3023,26
HAMPTON,3188,25
BORONIA,3155,25
LAVERTON,3028,25
GEELONG WEST,3218,25
BRIGHTON EAST,3187,25
MAIDSTONE,3012,25
BRAYBROOK,3019,25
WHEELERS HILL,3150,24
FAWKNER,3060,24
CROYDON,3136,24
HORSHAM,3400,24
BOX HILL NORTH,3129,24
KANGAROO FLAT,3555,23
MOOROOLBARK,3138,23
NEWPORT,3015,23
CHADSTONE,3148,23
ROXBURGH PARK,3064,23
BALWYN,3103,23
KURUNJANG,3337,23
GEELONG,3220,23
BENALLA,3672,22
MORNINGTON,3931,22
SYDENHAM,3037,22
WILLIAMSTOWN,3016,21
AVONDALE HEIGHTS,3034,21
ORMOND,3204,21
OCEAN GROVE,3226,21
BURWOOD EAST,3151,21
