Suburb/Town Name,Offence Count
abbeyard,5
abbotsford,14791
aberfeldie,1429
aberfeldy,2
acheron,36
ada,5
adams estate,56
addington,12
adelaide lead,36
agnes,24
aintree,2367
aireys inlet,275
airly,37
airport west,9294
albanvale,3766
albert park,6087
alberton,134
alberton west,48
albion,5029
alexandra,1352
alfredton,5717
allambee,16
allambee reserve,33
allambee south,15
allans flat,42
allansford,489
allendale,32
allestree,50
alma,85
almonds,7
almurta,100
alphington,3122
altona,7465
altona meadows,9631
altona north,11677
alvie,50
amherst,32
amor,2
amphitheatre,131
anakie,344
ancona,45
anderson,51
anglers rest,28
anglesea,1262
annuello,19
antwerp,47
apollo bay,1158
appin,1
appin south,5
apsley,191
ararat,12008
arawata,22
arcadia,121
arcadia south,78
archdale,17
archdale junction,25
archerton,19
archies creek,53
ardeer,3165
ardmona,476
areegra,5
argyle,90
armadale,6134
armstrong,120
armstrong creek,3775
arnold,42
arnold west,7
arthurs creek,139
arthurs seat,295
ascot,913
ascot vale,14357
ashbourne,41
ashburton,5615
ashwood,6400
aspendale,3251
aspendale gardens,1811
athlone,48
attwood,982
aubrey,7
auchmore,8
avalon,875
avenel,722
avoca,752
avon plains,11
avondale heights,4413
avonmore,34
avonsleigh,172
axe creek,124
axedale,276
ayrford,6
bacchus marsh,8976
baddaginnie,245
badger creek,545
bael bael,6
bagshot,145
bagshot north,16
bahgallah,26
bailieston,106
bairnsdale,18338
bakery hill,1284
balaclava,6538
bald hills,45
balintore,7
ballan,2361
ballangeich,23
ballarat central,26779
ballarat east,6155
ballarat north,2448
ballendella,74
balliang,256
balliang east,94
ballyrogan,30
balmattum,93
balmoral,99
balnarring,796
balnarring beach,189
balook,8
balwyn,5496
balwyn north,6232
bamawm,234
bamawm extension,33
bambra,26
bamganie,8
bandiana,371
bangerang,9
bangholme,761
bannerton,77
bannockburn,1431
banyan,4
banyena,11
baranduda,533
barfold,29
baringhup,82
baringhup west,6
barjarg,47
barkers creek,111
barkly,20
barkstead,6
barmah,352
barnadown,26
barnawartha,438
barnawartha north,248
baromi,31
barongarook,115
barongarook west,94
barrabool,46
barrakee,7
barramunga,56
barraport,12
barraport west,1
barrys reef,46
barunah park,16
barunah plains,4
