region,suburb,date,count,median
Ballarat,Ballarat,2000-12-01,963.0,140.0
Ballarat,Ballarat,2001-12-01,838.0,145.0
Ballarat,Ballarat,2002-12-01,923.0,155.0
Ballarat,Ballarat,2003-12-01,970.0,165.0
Ballarat,Ballarat,2004-12-01,931.0,175.0
Ballarat,Ballarat,2005-12-01,1048.0,180.0
Ballarat,Ballarat,2006-12-01,711.0,185.0
Ballarat,Ballarat,2007-12-01,731.0,190.0
Ballarat,Ballarat,2008-12-01,1543.0,210.0
Ballarat,Ballarat,2009-12-01,1833.0,220.0
Ballarat,Ballarat,2010-12-01,1893.0,235.0
Ballarat,Ballarat,2011-12-01,1875.0,250.0
Ballarat,Ballarat,2012-12-01,1918.0,260.0
Ballarat,Ballarat,2013-12-01,1949.0,260.0
Ballarat,Ballarat,2014-12-01,2002.0,265.0
Ballarat,Ballarat,2015-12-01,2009.0,265.0
Ballarat,Ballarat,2016-12-01,2047.0,270.0
Ballarat,Ballarat,2017-12-01,1899.0,280.0
Ballarat,Ballarat,2018-12-01,1821.0,295.0
Ballarat,Ballarat,2019-12-01,1745.0,310.0
Ballarat,Ballarat,2020-12-01,1712.0,320.0
Ballarat,Ballarat,2021-12-01,1602.0,340.0
Ballarat,Ballarat,2022-12-01,1508.0,360.0
Ballarat,Ballarat,2000-06-01,981.0,135.0
Ballarat,Ballarat,2001-06-01,864.0,140.0
Ballarat,Ballarat,2002-06-01,898.0,150.0
Ballarat,Ballarat,2003-06-01,936.0,160.0
Ballarat,Ballarat,2004-06-01,925.0,170.0
Ballarat,Ballarat,2005-06-01,1034.0,180.0
Ballarat,Ballarat,2006-06-01,855.0,180.0
Ballarat,Ballarat,2007-06-01,666.0,185.0
Ballarat,Ballarat,2008-06-01,1090.0,200.0
Ballarat,Ballarat,2009-06-01,1805.0,220.0
Ballarat,Ballarat,2010-06-01,1871.0,230.0
Ballarat,Ballarat,2011-06-01,1864.0,240.0
Ballarat,Ballarat,2012-06-01,1835.0,250.0
Ballarat,Ballarat,2013-06-01,1979.0,260.0
Ballarat,Ballarat,2014-06-01,2004.0,260.0
Ballarat,Ballarat,2015-06-01,1919.0,265.0
Ballarat,Ballarat,2016-06-01,2136.0,265.0
Ballarat,Ballarat,2017-06-01,1932.0,275.0
Ballarat,Ballarat,2018-06-01,1873.0,285.0
Ballarat,Ballarat,2019-06-01,1735.0,310.0
Ballarat,Ballarat,2020-06-01,1747.0,315.0
Ballarat,Ballarat,2021-06-01,1656.0,330.0
Ballarat,Ballarat,2022-06-01,1570.0,350.0
Ballarat,Ballarat,2000-03-01,995.0,135.0
Ballarat,Ballarat,2001-03-01,876.0,140.0
Ballarat,Ballarat,2002-03-01,855.0,150.0
Ballarat,Ballarat,2003-03-01,940.0,160.0
Ballarat,Ballarat,2004-03-01,950.0,170.0
Ballarat,Ballarat,2005-03-01,987.0,175.0
Ballarat,Ballarat,2006-03-01,1003.0,180.0
Ballarat,Ballarat,2007-03-01,531.0,185.0
Ballarat,Ballarat,2008-03-01,975.0,200.0
Ballarat,Ballarat,2009-03-01,1720.0,216.0
Ballarat,Ballarat,2010-03-01,1861.0,225.0
Ballarat,Ballarat,2011-03-01,1866.0,240.0
Ballarat,Ballarat,2012-03-01,1795.0,250.0
Ballarat,Ballarat,2013-03-01,2004.0,260.0
Ballarat,Ballarat,2014-03-01,1985.0,260.0
Ballarat,Ballarat,2015-03-01,1930.0,265.0
Ballarat,Ballarat,2016-03-01,2087.0,265.0
Ballarat,Ballarat,2017-03-01,1976.0,270.0
Ballarat,Ballarat,2018-03-01,1930.0,280.0
Ballarat,Ballarat,2019-03-01,1715.0,300.0
Ballarat,Ballarat,2020-03-01,1745.0,315.0
Ballarat,Ballarat,2021-03-01,1703.0,320.0
Ballarat,Ballarat,2022-03-01,1550.0,350.0
Ballarat,Ballarat,2023-03-01,1492.0,360.0
Ballarat,Ballarat,2000-09-01,979.0,138.0
Ballarat,Ballarat,2001-09-01,850.0,140.0
Ballarat,Ballarat,2002-09-01,908.0,150.0
Ballarat,Ballarat,2003-09-01,947.0,160.0
Ballarat,Ballarat,2004-09-01,903.0,170.0
Ballarat,Ballarat,2005-09-01,1068.0,180.0
Ballarat,Ballarat,2006-09-01,871.0,185.0
