region,suburb,date,count,median
Ballarat,Ballarat,Dec 2000,77.0,170.0
Ballarat,Ballarat,Dec 2001,66.0,180.0
Ballarat,Ballarat,Dec 2002,66.0,198.0
Ballarat,Ballarat,Dec 2003,84.0,200.0
Ballarat,Ballarat,Dec 2004,77.0,220.0
Ballarat,Ballarat,Dec 2005,77.0,230.0
Ballarat,Ballarat,Dec 2006,44.0,240.0
Ballarat,Ballarat,Dec 2007,59.0,260.0
Ballarat,Ballarat,Dec 2008,140.0,270.0
Ballarat,Ballarat,Dec 2009,157.0,280.0
Ballarat,Ballarat,Dec 2010,153.0,310.0
Ballarat,Ballarat,Dec 2011,161.0,320.0
Ballarat,Ballarat,Dec 2012,168.0,330.0
Ballarat,Ballarat,Dec 2013,191.0,350.0
Ballarat,Ballarat,Dec 2014,210.0,350.0
Ballarat,Ballarat,Dec 2015,223.0,350.0
Ballarat,Ballarat,Dec 2016,223.0,350.0
Ballarat,Ballarat,Dec 2017,222.0,360.0
Ballarat,Ballarat,Dec 2018,222.0,370.0
Ballarat,Ballarat,Dec 2019,216.0,390.0
Ballarat,Ballarat,Dec 2020,240.0,395.0
Ballarat,Ballarat,Dec 2021,231.0,420.0
Ballarat,Ballarat,Dec 2022,239.0,440.0
Ballarat,Ballarat,Jun 2000,93.0,165.0
Ballarat,Ballarat,Jun 2001,68.0,175.0
Ballarat,Ballarat,Jun 2002,65.0,190.0
Ballarat,Ballarat,Jun 2003,78.0,200.0
Ballarat,Ballarat,Jun 2004,71.0,220.0
Ballarat,Ballarat,Jun 2005,86.0,220.0
Ballarat,Ballarat,Jun 2006,59.0,240.0
Ballarat,Ballarat,Jun 2007,38.0,250.0
Ballarat,Ballarat,Jun 2008,103.0,255.0
Ballarat,Ballarat,Jun 2009,157.0,270.0
Ballarat,Ballarat,Jun 2010,153.0,300.0
Ballarat,Ballarat,Jun 2011,161.0,320.0
Ballarat,Ballarat,Jun 2012,148.0,320.0
Ballarat,Ballarat,Jun 2013,184.0,340.0
Ballarat,Ballarat,Jun 2014,203.0,350.0
Ballarat,Ballarat,Jun 2015,203.0,350.0
Ballarat,Ballarat,Jun 2016,244.0,350.0
Ballarat,Ballarat,Jun 2017,215.0,360.0
Ballarat,Ballarat,Jun 2018,213.0,360.0
Ballarat,Ballarat,Jun 2019,227.0,380.0
Ballarat,Ballarat,Jun 2020,239.0,395.0
Ballarat,Ballarat,Jun 2021,236.0,400.0
Ballarat,Ballarat,Jun 2022,244.0,430.0
Ballarat,Ballarat,Mar 2000,95.0,165.0
