region,suburb,date,count,median
Ballarat,Ballarat,Dec 2000,79.0,85.0
Ballarat,Ballarat,Dec 2001,78.0,85.0
Ballarat,Ballarat,Dec 2002,73.0,90.0
Ballarat,Ballarat,Dec 2003,73.0,95.0
Ballarat,Ballarat,Dec 2004,75.0,100.0
Ballarat,Ballarat,Dec 2005,54.0,105.0
Ballarat,Ballarat,Dec 2006,35.0,110.0
Ballarat,Ballarat,Dec 2007,46.0,115.0
Ballarat,Ballarat,Dec 2008,77.0,120.0
Ballarat,Ballarat,Dec 2009,115.0,130.0
Ballarat,Ballarat,Dec 2010,107.0,140.0
Ballarat,Ballarat,Dec 2011,113.0,145.0
Ballarat,Ballarat,Dec 2012,121.0,155.0
Ballarat,Ballarat,Dec 2013,120.0,160.0
Ballarat,Ballarat,Dec 2014,114.0,165.0
Ballarat,Ballarat,Dec 2015,100.0,170.0
Ballarat,Ballarat,Dec 2016,115.0,170.0
Ballarat,Ballarat,Dec 2017,94.0,178.0
Ballarat,Ballarat,Dec 2018,86.0,185.0
Ballarat,Ballarat,Dec 2019,69.0,190.0
Ballarat,Ballarat,Dec 2020,83.0,210.0
Ballarat,Ballarat,Dec 2021,59.0,220.0
Ballarat,Ballarat,Dec 2022,57.0,240.0
Ballarat,Ballarat,Jun 2000,72.0,80.0
Ballarat,Ballarat,Jun 2001,84.0,85.0
Ballarat,Ballarat,Jun 2002,75.0,90.0
Ballarat,Ballarat,Jun 2003,65.0,95.0
Ballarat,Ballarat,Jun 2004,82.0,100.0
Ballarat,Ballarat,Jun 2005,58.0,100.0
Ballarat,Ballarat,Jun 2006,46.0,108.0
Ballarat,Ballarat,Jun 2007,39.0,110.0
Ballarat,Ballarat,Jun 2008,53.0,120.0
Ballarat,Ballarat,Jun 2009,107.0,130.0
Ballarat,Ballarat,Jun 2010,113.0,130.0
Ballarat,Ballarat,Jun 2011,115.0,140.0
Ballarat,Ballarat,Jun 2012,112.0,150.0
Ballarat,Ballarat,Jun 2013,128.0,160.0
Ballarat,Ballarat,Jun 2014,116.0,165.0
Ballarat,Ballarat,Jun 2015,95.0,165.0
Ballarat,Ballarat,Jun 2016,117.0,170.0
Ballarat,Ballarat,Jun 2017,100.0,170.0
Ballarat,Ballarat,Jun 2018,91.0,180.0
Ballarat,Ballarat,Jun 2019,71.0,190.0
Ballarat,Ballarat,Jun 2020,74.0,190.0
Ballarat,Ballarat,Jun 2021,76.0,210.0
Ballarat,Ballarat,Jun 2022,57.0,220.0
Ballarat,Ballarat,Mar 2000,69.0,80.0
Ballarat,Ballarat,Mar 2001,77.0,85.0
Ballarat,Ballarat,Mar 2002,80.0,90.0
Ballarat,Ballarat,Mar 2003,65.0,95.0
Ballarat,Ballarat,Mar 2004,81.0,100.0
Ballarat,Ballarat,Mar 2005,64.0,100.0
Ballarat,Ballarat,Mar 2006,53.0,105.0
Ballarat,Ballarat,Mar 2007,30.0,108.0
Ballarat,Ballarat,Mar 2008,53.0,115.0
Ballarat,Ballarat,Mar 2009,93.0,125.0
Ballarat,Ballarat,Mar 2010,107.0,130.0
Ballarat,Ballarat,Mar 2011,122.0,140.0
Ballarat,Ballarat,Mar 2012,107.0,150.0
Ballarat,Ballarat,Mar 2013,123.0,160.0
Ballarat,Ballarat,Mar 2014,132.0,165.0
Ballarat,Ballarat,Mar 2015,92.0,165.0
Ballarat,Ballarat,Mar 2016,116.0,170.0
Ballarat,Ballarat,Mar 2017,98.0,170.0
Ballarat,Ballarat,Mar 2018,96.0,180.0
Ballarat,Ballarat,Mar 2019,75.0,190.0
Ballarat,Ballarat,Mar 2020,75.0,190.0
Ballarat,Ballarat,Mar 2021,78.0,210.0
Ballarat,Ballarat,Mar 2022,63.0,220.0
Ballarat,Ballarat,Mar 2023,56.0,240.0
Ballarat,Ballarat,Sep 2000,76.0,85.0
Ballarat,Ballarat,Sep 2001,83.0,85.0
Ballarat,Ballarat,Sep 2002,75.0,90.0
Ballarat,Ballarat,Sep 2003,69.0,95.0
Ballarat,Ballarat,Sep 2004,76.0,100.0
Ballarat,Ballarat,Sep 2005,58.0,100.0
Ballarat,Ballarat,Sep 2006,45.0,110.0
Ballarat,Ballarat,Sep 2007,31.0,110.0
Ballarat,Ballarat,Sep 2008,72.0,120.0
Ballarat,Ballarat,Sep 2009,104.0,130.0
Ballarat,Ballarat,Sep 2010,121.0,135.0
Ballarat,Ballarat,Sep 2011,117.0,140.0
Ballarat,Ballarat,Sep 2012,113.0,155.0
Ballarat,Ballarat,Sep 2013,118.0,160.0
Ballarat,Ballarat,Sep 2014,123.0,165.0
Ballarat,Ballarat,Sep 2015,98.0,170.0
Ballarat,Ballarat,Sep 2016,119.0,170.0
Ballarat,Ballarat,Sep 2017,86.0,175.0
Ballarat,Ballarat,Sep 2018,87.0,180.0
Ballarat,Ballarat,Sep 2019,73.0,190.0
Ballarat,Ballarat,Sep 2020,82.0,198.0
Ballarat,Ballarat,Sep 2021,59.0,205.0
Ballarat,Ballarat,Sep 2022,63.0,220.0
Ballarat,Group Total,Dec 2000,407.0,80.0
Ballarat,Group Total,Dec 2001,355.0,85.0
Ballarat,Group Total,Dec 2002,333.0,90.0
Ballarat,Group Total,Dec 2003,315.0,95.0
Ballarat,Group Total,Dec 2004,316.0,100.0
Ballarat,Group Total,Dec 2005,277.0,105.0
Ballarat,Group Total,Dec 2006,289.0,110.0
Ballarat,Group Total,Dec 2007,286.0,110.0
Ballarat,Group Total,Dec 2008,275.0,120.0
Ballarat,Group Total,Dec 2009,300.0,130.0
Ballarat,Group Total,Dec 2010,290.0,140.0
Ballarat,Group Total,Dec 2011,289.0,145.0
Ballarat,Group Total,Dec 2012,339.0,150.0
Ballarat,Group Total,Dec 2013,313.0,160.0
Ballarat,Group Total,Dec 2014,320.0,160.0
Ballarat,Group Total,Dec 2015,294.0,165.0
Ballarat,Group Total,Dec 2016,321.0,165.0
Ballarat,Group Total,Dec 2017,263.0,170.0
Ballarat,Group Total,Dec 2018,248.0,180.0
Ballarat,Group Total,Dec 2019,214.0,190.0
