region,suburb,date,count,median
Ballarat,Ballarat,Dec 2000,15.0,160.0
Ballarat,Ballarat,Dec 2001,12.0,160.0
Ballarat,Ballarat,Dec 2002,16.0,180.0
Ballarat,Ballarat,Dec 2003,19.0,175.0
Ballarat,Ballarat,Dec 2004,24.0,205.0
Ballarat,Ballarat,Dec 2005,39.0,220.0
Ballarat,Ballarat,Dec 2006,33.0,225.0
Ballarat,Ballarat,Dec 2007,25.0,230.0
Ballarat,Ballarat,Dec 2008,81.0,250.0
Ballarat,Ballarat,Dec 2009,75.0,240.0
Ballarat,Ballarat,Dec 2010,85.0,260.0
Ballarat,Ballarat,Dec 2011,89.0,270.0
Ballarat,Ballarat,Dec 2012,104.0,280.0
Ballarat,Ballarat,Dec 2013,109.0,290.0
Ballarat,Ballarat,Dec 2014,106.0,280.0
Ballarat,Ballarat,Dec 2015,129.0,275.0
Ballarat,Ballarat,Dec 2016,113.0,285.0
Ballarat,Ballarat,Dec 2017,121.0,300.0
Ballarat,Ballarat,Dec 2018,125.0,300.0
Ballarat,Ballarat,Dec 2019,99.0,320.0
Ballarat,Ballarat,Dec 2020,102.0,330.0
Ballarat,Ballarat,Dec 2021,78.0,350.0
Ballarat,Ballarat,Dec 2022,87.0,360.0
Ballarat,Ballarat,Jun 2000,11.0,160.0
Ballarat,Ballarat,Jun 2001,14.0,160.0
Ballarat,Ballarat,Jun 2002,11.0,175.0
Ballarat,Ballarat,Jun 2003,20.0,175.0
Ballarat,Ballarat,Jun 2004,21.0,180.0
Ballarat,Ballarat,Jun 2005,29.0,230.0
Ballarat,Ballarat,Jun 2006,39.0,220.0
Ballarat,Ballarat,Jun 2007,29.0,230.0
Ballarat,Ballarat,Jun 2008,52.0,238.0
Ballarat,Ballarat,Jun 2009,87.0,250.0
Ballarat,Ballarat,Jun 2010,79.0,250.0
Ballarat,Ballarat,Jun 2011,75.0,270.0
Ballarat,Ballarat,Jun 2012,90.0,270.0
Ballarat,Ballarat,Jun 2013,125.0,290.0
Ballarat,Ballarat,Jun 2014,108.0,288.0
Ballarat,Ballarat,Jun 2015,100.0,280.0
Ballarat,Ballarat,Jun 2016,138.0,275.0
Ballarat,Ballarat,Jun 2017,102.0,290.0
Ballarat,Ballarat,Jun 2018,136.0,303.0
Ballarat,Ballarat,Jun 2019,109.0,310.0
Ballarat,Ballarat,Jun 2020,98.0,320.0
Ballarat,Ballarat,Jun 2021,86.0,338.0
Ballarat,Ballarat,Jun 2022,78.0,360.0
Ballarat,Ballarat,Mar 2000,17.0,160.0
Ballarat,Ballarat,Mar 2001,12.0,160.0
Ballarat,Ballarat,Mar 2002,12.0,173.0
Ballarat,Ballarat,Mar 2003,18.0,175.0
Ballarat,Ballarat,Mar 2004,22.0,183.0
Ballarat,Ballarat,Mar 2005,20.0,205.0
Ballarat,Ballarat,Mar 2006,45.0,220.0
Ballarat,Ballarat,Mar 2007,27.0,230.0
Ballarat,Ballarat,Mar 2008,43.0,230.0
Ballarat,Ballarat,Mar 2009,86.0,250.0
Ballarat,Ballarat,Mar 2010,76.0,250.0
Ballarat,Ballarat,Mar 2011,83.0,270.0
Ballarat,Ballarat,Mar 2012,86.0,270.0
Ballarat,Ballarat,Mar 2013,120.0,283.0
Ballarat,Ballarat,Mar 2014,95.0,290.0
