region,suburb,date,count,median
Ballarat,Ballarat,2000-12-01,164.0,130.0
Ballarat,Ballarat,2001-12-01,167.0,135.0
Ballarat,Ballarat,2002-12-01,180.0,140.0
Ballarat,Ballarat,2003-12-01,157.0,145.0
Ballarat,Ballarat,2004-12-01,151.0,150.0
Ballarat,Ballarat,2005-12-01,192.0,155.0
Ballarat,Ballarat,2006-12-01,117.0,155.0
Ballarat,Ballarat,2007-12-01,106.0,170.0
Ballarat,Ballarat,2008-12-01,234.0,180.0
Ballarat,Ballarat,2009-12-01,249.0,190.0
Ballarat,Ballarat,2010-12-01,304.0,200.0
Ballarat,Ballarat,2011-12-01,300.0,220.0
Ballarat,Ballarat,2012-12-01,267.0,225.0
Ballarat,Ballarat,2013-12-01,284.0,230.0
Ballarat,Ballarat,2014-12-01,326.0,240.0
Ballarat,Ballarat,2015-12-01,309.0,240.0
Ballarat,Ballarat,2016-12-01,292.0,245.0
Ballarat,Ballarat,2017-12-01,271.0,250.0
Ballarat,Ballarat,2018-12-01,262.0,255.0
Ballarat,Ballarat,2019-12-01,254.0,260.0
Ballarat,Ballarat,2020-12-01,207.0,270.0
Ballarat,Ballarat,2021-12-01,188.0,280.0
Ballarat,Ballarat,2022-12-01,204.0,310.0
Ballarat,Ballarat,2000-06-01,192.0,125.0
Ballarat,Ballarat,2001-06-01,156.0,130.0
Ballarat,Ballarat,2002-06-01,182.0,140.0
Ballarat,Ballarat,2003-06-01,158.0,140.0
Ballarat,Ballarat,2004-06-01,148.0,150.0
Ballarat,Ballarat,2005-06-01,181.0,155.0
Ballarat,Ballarat,2006-06-01,153.0,155.0
Ballarat,Ballarat,2007-06-01,104.0,163.0
Ballarat,Ballarat,2008-06-01,166.0,175.0
Ballarat,Ballarat,2009-06-01,242.0,185.0
Ballarat,Ballarat,2010-06-01,297.0,200.0
Ballarat,Ballarat,2011-06-01,301.0,220.0
Ballarat,Ballarat,2012-06-01,286.0,222.0
Ballarat,Ballarat,2013-06-01,256.0,230.0
Ballarat,Ballarat,2014-06-01,322.0,233.0
Ballarat,Ballarat,2015-06-01,296.0,240.0
Ballarat,Ballarat,2016-06-01,321.0,240.0
Ballarat,Ballarat,2017-06-01,279.0,250.0
Ballarat,Ballarat,2018-06-01,264.0,250.0
Ballarat,Ballarat,2019-06-01,256.0,260.0
Ballarat,Ballarat,2020-06-01,238.0,270.0
Ballarat,Ballarat,2021-06-01,190.0,280.0
Ballarat,Ballarat,2022-06-01,184.0,293.0
Ballarat,Ballarat,2000-03-01,197.0,125.0
Ballarat,Ballarat,2001-03-01,156.0,130.0
Ballarat,Ballarat,2002-03-01,179.0,135.0
Ballarat,Ballarat,2003-03-01,154.0,140.0
Ballarat,Ballarat,2004-03-01,160.0,140.0
Ballarat,Ballarat,2005-03-01,165.0,150.0
Ballarat,Ballarat,2006-03-01,181.0,155.0
Ballarat,Ballarat,2007-03-01,90.0,158.0
Ballarat,Ballarat,2008-03-01,139.0,175.0
Ballarat,Ballarat,2009-03-01,255.0,185.0
Ballarat,Ballarat,2010-03-01,270.0,195.0
Ballarat,Ballarat,2011-03-01,291.0,210.0
Ballarat,Ballarat,2012-03-01,291.0,225.0
Ballarat,Ballarat,2013-03-01,276.0,230.0
Ballarat,Ballarat,2014-03-01,295.0,231.0
Ballarat,Ballarat,2015-03-01,305.0,240.0
Ballarat,Ballarat,2016-03-01,323.0,240.0
Ballarat,Ballarat,2017-03-01,280.0,245.0
Ballarat,Ballarat,2018-03-01,281.0,250.0
Ballarat,Ballarat,2019-03-01,246.0,260.0
Ballarat,Ballarat,2020-03-01,248.0,265.0
Ballarat,Ballarat,2021-03-01,200.0,270.0
Ballarat,Ballarat,2022-03-01,183.0,284.0
Ballarat,Ballarat,2023-03-01,202.0,318.0
Ballarat,Ballarat,2000-09-01,179.0,130.0
Ballarat,Ballarat,2001-09-01,171.0,130.0
Ballarat,Ballarat,2002-09-01,170.0,140.0
Ballarat,Ballarat,2003-09-01,158.0,145.0
Ballarat,Ballarat,2004-09-01,145.0,145.0
Ballarat,Ballarat,2005-09-01,187.0,155.0
Ballarat,Ballarat,2006-09-01,154.0,155.0
Ballarat,Ballarat,2007-09-01,82.0,165.0
Ballarat,Ballarat,2008-09-01,210.0,178.0
Ballarat,Ballarat,2009-09-01,243.0,190.0
Ballarat,Ballarat,2010-09-01,293.0,200.0
Ballarat,Ballarat,2011-09-01,315.0,220.0
Ballarat,Ballarat,2012-09-01,266.0,220.0
Ballarat,Ballarat,2013-09-01,277.0,230.0
Ballarat,Ballarat,2014-09-01,318.0,238.0
Ballarat,Ballarat,2015-09-01,311.0,240.0
Ballarat,Ballarat,2016-09-01,313.0,240.0
Ballarat,Ballarat,2017-09-01,264.0,250.0
Ballarat,Ballarat,2018-09-01,257.0,250.0
Ballarat,Ballarat,2019-09-01,264.0,260.0
Ballarat,Ballarat,2020-09-01,216.0,270.0
Ballarat,Ballarat,2021-09-01,205.0,280.0
Ballarat,Ballarat,2022-09-01,184.0,300.0
Ballarat,Group Total,2000-12-01,739.0,130.0
Ballarat,Group Total,2001-12-01,686.0,135.0
Ballarat,Group Total,2002-12-01,638.0,140.0
Ballarat,Group Total,2003-12-01,644.0,145.0
Ballarat,Group Total,2004-12-01,630.0,150.0
Ballarat,Group Total,2005-12-01,646.0,155.0
Ballarat,Group Total,2006-12-01,589.0,160.0
Ballarat,Group Total,2007-12-01,595.0,165.0
Ballarat,Group Total,2008-12-01,614.0,175.0
Ballarat,Group Total,2009-12-01,549.0,180.0
Ballarat,Group Total,2010-12-01,612.0,200.0
Ballarat,Group Total,2011-12-01,623.0,220.0
Ballarat,Group Total,2012-12-01,619.0,220.0
Ballarat,Group Total,2013-12-01,642.0,225.0
Ballarat,Group Total,2014-12-01,687.0,230.0
Ballarat,Group Total,2015-12-01,719.0,230.0
Ballarat,Group Total,2016-12-01,671.0,235.0
Ballarat,Group Total,2017-12-01,640.0,240.0
Ballarat,Group Total,2018-12-01,600.0,245.0
Ballarat,Group Total,2019-12-01,558.0,260.0
Ballarat,Group Total,2020-12-01,505.0,260.0
Ballarat,Group Total,2021-12-01,431.0,280.0
Ballarat,Group Total,2022-12-01,456.0,300.0
Ballarat,Group Total,2000-06-01,751.0,130.0
Ballarat,Group Total,2001-06-01,705.0,130.0
Ballarat,Group Total,2002-06-01,672.0,135.0
Ballarat,Group Total,2003-06-01,631.0,140.0
Ballarat,Group Total,2004-06-01,607.0,150.0
Ballarat,Group Total,2005-06-01,659.0,150.0
Ballarat,Group Total,2006-06-01,627.0,160.0
Ballarat,Group Total,2007-06-01,606.0,160.0
Ballarat,Group Total,2008-06-01,597.0,170.0
Ballarat,Group Total,2009-06-01,535.0,180.0
Ballarat,Group Total,2010-06-01,617.0,190.0
Ballarat,Group Total,2011-06-01,615.0,210.0
Ballarat,Group Total,2012-06-01,648.0,220.0
Ballarat,Group Total,2013-06-01,585.0,220.0
Ballarat,Group Total,2014-06-01,693.0,230.0
Ballarat,Group Total,2015-06-01,689.0,230.0
Ballarat,Group Total,2016-06-01,704.0,230.0
Ballarat,Group Total,2017-06-01,666.0,240.0
Ballarat,Group Total,2018-06-01,620.0,240.0
Ballarat,Group Total,2019-06-01,563.0,250.0
Ballarat,Group Total,2020-06-01,551.0,260.0
Ballarat,Group Total,2021-06-01,449.0,270.0
Ballarat,Group Total,2022-06-01,430.0,295.0
Ballarat,Group Total,2000-03-01,770.0,125.0
Ballarat,Group Total,2001-03-01,702.0,130.0
Ballarat,Group Total,2002-03-01,677.0,135.0
