region,suburb,date,count,median
Ballarat,Ballarat,2000-12-01,136.0,130.0
Ballarat,Ballarat,2001-12-01,118.0,135.0
Ballarat,Ballarat,2002-12-01,133.0,150.0
Ballarat,Ballarat,2003-12-01,121.0,150.0
Ballarat,Ballarat,2004-12-01,130.0,160.0
Ballarat,Ballarat,2005-12-01,136.0,170.0
Ballarat,Ballarat,2006-12-01,105.0,170.0
Ballarat,Ballarat,2007-12-01,110.0,178.0
Ballarat,Ballarat,2008-12-01,208.0,190.0
Ballarat,Ballarat,2009-12-01,231.0,200.0
Ballarat,Ballarat,2010-12-01,248.0,220.0
Ballarat,Ballarat,2011-12-01,263.0,230.0
Ballarat,Ballarat,2012-12-01,291.0,240.0
Ballarat,Ballarat,2013-12-01,302.0,240.0
Ballarat,Ballarat,2014-12-01,326.0,250.0
Ballarat,Ballarat,2015-12-01,307.0,250.0
Ballarat,Ballarat,2016-12-01,358.0,250.0
Ballarat,Ballarat,2017-12-01,257.0,250.0
Ballarat,Ballarat,2018-12-01,230.0,260.0
Ballarat,Ballarat,2019-12-01,210.0,280.0
Ballarat,Ballarat,2020-12-01,222.0,290.0
Ballarat,Ballarat,2021-12-01,219.0,300.0
Ballarat,Ballarat,2022-12-01,192.0,320.0
Ballarat,Ballarat,2000-06-01,145.0,125.0
Ballarat,Ballarat,2001-06-01,125.0,130.0
Ballarat,Ballarat,2002-06-01,121.0,140.0
Ballarat,Ballarat,2003-06-01,124.0,150.0
Ballarat,Ballarat,2004-06-01,129.0,155.0
Ballarat,Ballarat,2005-06-01,142.0,165.0
Ballarat,Ballarat,2006-06-01,115.0,170.0
Ballarat,Ballarat,2007-06-01,118.0,175.0
Ballarat,Ballarat,2008-06-01,124.0,185.0
Ballarat,Ballarat,2009-06-01,238.0,198.0
Ballarat,Ballarat,2010-06-01,240.0,209.0
Ballarat,Ballarat,2011-06-01,246.0,225.0
Ballarat,Ballarat,2012-06-01,278.0,230.0
Ballarat,Ballarat,2013-06-01,304.0,240.0
Ballarat,Ballarat,2014-06-01,334.0,250.0
Ballarat,Ballarat,2015-06-01,300.0,245.0
Ballarat,Ballarat,2016-06-01,344.0,250.0
Ballarat,Ballarat,2017-06-01,309.0,250.0
Ballarat,Ballarat,2018-06-01,234.0,260.0
Ballarat,Ballarat,2019-06-01,216.0,270.0
Ballarat,Ballarat,2020-06-01,217.0,280.0
Ballarat,Ballarat,2021-06-01,216.0,290.0
Ballarat,Ballarat,2022-06-01,226.0,320.0
