rental_id,top_distances,top_bus_ids
17747586,"[433.52, 581.43, 14211.31, 25808.42, 55651.27]","['1001', '1000', '10345', '1201', '10837']"
17292142,"[440.8, 536.4, 960.47, 26116.62, 26390.48]","['1000', '1001', '1202', '1201', '1200']"
17717715,"[671.15, 2716.4, 25618.05, 26167.44, 53286.2]","['1000', '998', '1199', '999', '1198']"
17721816,"[765.37, 26715.05, 27772.45, 27990.99, 29923.31]","['1000', '1200', '22361', '999', '22359']"
16512589,"[803.2, 21361.67, 21659.3, 28089.64, 28258.79]","['10001', '22678', '22674', '10308', '10307']"
16518434,"[279.54, 23287.97, 23599.28, 23620.28, 29764.71]","['10009', '47540', '47539', '47538', '10315']"
17741577,"[332.1, 18830.94, 23220.46, 23531.77, 29817.27]","['10009', '47562', '47540', '47539', '10315']"
17695238,"[313.74, 447.72, 495.64, 1163.23, 25668.94]","['1002', '1203', '1001', '1202', '1201']"
17737146,"[649.09, 26229.31, 28099.27, 54776.28, 55354.26]","['1001', '1201', '587', '1919', '1918']"
17551890,"[108.36, 408.69, 18235.84, 27204.57, 29481.58]","['10010', '10011', '47562', '10316', '47578']"
17126521,"[109.61, 294.0, 26088.79, 26364.95, 28679.57]","['10012', '47651', '10871', '10318', '10869']"
17724519,"[457.28, 546.71, 3055.24, 25526.48, 27836.63]","['47650', '10013', '10644', '10872', '10870']"
14063593,"[389.23, 589.07, 25594.53, 25804.96, 27904.68]","['47650', '10013', '10872', '10871', '10870']"
17720423,"[52.81, 241.17, 25637.17, 25847.6, 27947.32]","['47651', '10013', '10872', '10871', '10870']"
17594849,"[220.27, 512.38, 25518.1, 25728.53, 25969.03]","['10013', '47651', '10872', '10871', '48466']"
17752102,"[993.92, 24244.28, 54980.76, 55098.22, 56629.74]","['10014', '13356', '10322', '10321', '13409']"
17720558,"[202.46, 504.62, 1575.12, 54775.97, 55106.02]","['10014', '10323', '22494', '13410', '10322']"
17708483,"[1126.82, 1630.04, 3335.05, 25676.22, 56030.38]","['10014', '3018', '40292', '3017', '10322']"
17748797,"[68.0, 357.25, 3802.17, 24480.18, 24898.3]","['10017', '10016', '10326', '10325', '10324']"
17712335,"[467.63, 3291.09, 21928.87, 24249.05, 56634.5]","['10017', '10327', '10325', '13356', '13409']"
17751204,"[623.56, 4104.22, 4142.59, 25563.09, 26024.3]","['10017', '10326', '10328', '10404', '10402']"
17701361,"[413.37, 3568.7, 25867.32, 54656.25, 55708.56]","['10018', '4730', '4729', '1191', '1189']"
15393921,"[327.56, 3658.46, 25940.13, 26008.64, 54729.07]","['10018', '4730', '4729', '5076', '1191']"
17692836,"[312.58, 3643.47, 25925.15, 25993.65, 54714.09]","['10018', '4730', '4729', '5076', '1191']"
17723204,"[614.45, 3618.55, 26114.1, 26182.61, 27459.19]","['10018', '574', '4729', '5076', '1905']"
17733810,"[584.18, 10592.47, 14062.77, 14685.56, 16542.29]","['10019', '46528', '46533', '46532', '46527']"
17749050,"[3568.83, 5180.29, 7146.49, 7454.63, 12924.19]","['10019', '8334', '8335', '8336', '9021']"
15961816,"[9704.98, 10845.65, 14211.64, 14251.25, 14394.69]","['1203', '1002', '13777', '10836', '1202']"
17732890,"[9585.09, 13881.84, 14031.28, 14070.89, 14214.32]","['1203', '1002', '13777', '10836', '1202']"
17691922,"[10004.28, 14207.43, 14356.86, 14396.48, 14539.91]","['1203', '1002', '13777', '10836', '1202']"
17753696,"[3513.68, 3766.55, 3972.04, 3978.16, 6358.44]","['10020', '10021', '8337', '10022', '9022']"
17702856,"[3635.58, 3888.45, 4093.94, 6255.85, 6480.34]","['10020', '10021', '8337', '8336', '9022']"
16292575,"[3612.15, 3817.64, 3823.76, 5636.52, 6132.83]","['10021', '8337', '10022', '10023', '9022']"
17718044,"[3321.21, 3622.6, 4261.39, 5870.34, 6750.61]","['9023', '10022', '9024', '10023', '10025']"
17732219,"[3210.08, 3511.47, 4150.26, 5759.21, 6639.48]","['9023', '10022', '9024', '10023', '10025']"
17726925,"[3408.73, 3710.12, 4348.92, 5957.87, 6838.13]","['9023', '10022', '9024', '10023', '10025']"
17735710,"[3116.93, 4057.12, 5666.06, 6546.33, 13306.41]","['9023', '9024', '10023', '10025', '10026']"
17706857,"[2721.02, 3757.4, 6246.62, 13710.56, 13879.71]","['9025', '9024', '10025', '10027', '10026']"
17610912,"[451.43, 2062.07, 2578.93, 14128.12, 14297.27]","['47762', '9026', '9025', '10027', '10026']"
15912537,"[821.77, 1020.74, 1416.63, 3162.18, 14410.36]","['47761', '47757', '47756', '9027', '10028']"
17711672,"[789.33, 1384.2, 2362.63, 3019.0, 14377.92]","['47761', '47756', '9028', '9027', '10028']"
17748748,"[1473.44, 1478.82, 1998.82, 2803.56, 14776.56]","['10031', '10029', '10030', '9028', '9029']"
16506421,"[685.01, 1439.18, 2076.56, 2866.47, 11620.1]","['40895', '10031', '10030', '9030', '9029']"
17704190,"[719.82, 1473.99, 2111.37, 2901.28, 11654.9]","['40895', '10031', '10030', '9030', '9029']"
17694735,"[936.84, 1379.94, 2037.55, 3118.3, 3154.95]","['40895', '10031', '9591', '9030', '9312']"
16614939,"[552.92, 2072.99, 2239.98, 2734.32, 3316.48]","['40895', '9032', '9031', '9030', '10032']"
17731553,"[1001.63, 2009.49, 2176.92, 2450.19, 2685.82]","['10034', '10033', '2254', '2454', '9033']"
17533126,"[1335.78, 1837.87, 2547.28, 2616.28, 4877.0]","['10034', '20754', '9034', '10035', '9604']"
17739630,"[2181.92, 2462.36, 2587.01, 2793.14, 2862.15]","['10037', '9035', '10036', '9034', '10035']"
17711498,"[1850.1, 2136.81, 2472.15, 2752.59, 5400.63]","['9325', '9036', '10037', '9035', '9607']"
16802267,"[2790.03, 3572.03, 4344.27, 6928.48, 7238.97]","['9038', '9037', '2466', '10039', '10038']"
17567350,"[2790.03, 3572.03, 4344.27, 6928.48, 7238.97]","['9038', '9037', '2466', '10039', '10038']"
17753419,"[2790.03, 3572.03, 4344.27, 6928.48, 7238.97]","['9038', '9037', '2466', '10039', '10038']"
16802189,"[2790.03, 3572.03, 4344.27, 6928.48, 7238.97]","['9038', '9037', '2466', '10039', '10038']"
16802333,"[2790.03, 3572.03, 4344.27, 6928.48, 7238.97]","['9038', '9037', '2466', '10039', '10038']"
17740620,"[2790.03, 3572.03, 4344.27, 6928.48, 7238.97]","['9038', '9037', '2466', '10039', '10038']"
17713443,"[3086.38, 3328.14, 4110.14, 7466.59, 7777.07]","['9039', '9038', '9037', '10039', '10038']"
17741958,"[3605.41, 3847.17, 4629.17, 7985.62, 8296.11]","['9039', '9038', '9037', '10039', '10038']"
17702519,"[3115.05, 3356.81, 4138.82, 7337.99, 7648.47]","['9039', '9038', '9037', '10039', '10038']"
17746538,"[1286.12, 1588.91, 5031.13, 5475.75, 5782.71]","['9038', '9039', '10039', '10040', '10041']"
17730656,"[1227.99, 1638.12, 4973.0, 5417.62, 5724.58]","['9038', '9039', '10039', '10040', '10041']"
17303144,"[549.69, 940.41, 1350.55, 4685.42, 5130.04]","['9037', '9038', '9039', '10039', '10040']"
17714560,"[1412.65, 2793.12, 5192.14, 5499.1, 5761.0]","['9039', '9040', '10040', '10041', '10042']"
17747316,"[1158.96, 2633.27, 5032.3, 5339.26, 5601.15]","['9039', '9040', '10040', '10041', '10042']"
17743607,"[666.48, 4193.58, 4586.28, 4652.41, 4659.93]","['40943', '9041', '49738', '49739', '10042']"
17746623,"[349.04, 1527.3, 1689.33, 1698.24, 4504.23]","['563', '1893', '1894', '564', '10043']"
17745726,"[1572.8, 3574.34, 4179.58, 4245.71, 4507.0]","['1895', '9042', '49738', '49739', '10043']"
17112210,"[3711.42, 3923.96, 4316.66, 4382.79, 4644.08]","['9042', '9041', '49738', '49739', '10043']"
17119325,"[3711.42, 3923.96, 4316.66, 4382.79, 4644.08]","['9042', '9041', '49738', '49739', '10043']"
17179537,"[3711.42, 3923.96, 4316.66, 4382.79, 4644.08]","['9042', '9041', '49738', '49739', '10043']"
17736488,"[3731.15, 3943.69, 4336.39, 4402.52, 4663.81]","['9042', '9041', '49738', '49739', '10043']"
17684668,"[1162.45, 1505.08, 1679.62, 3744.54, 4119.72]","['10964', '20911', '8462', '9045', '10047']"
16599894,"[939.41, 1447.98, 1965.16, 3513.44, 4046.52]","['8465', '10964', '8462', '10047', '8463']"
17724949,"[1679.96, 1950.99, 2264.08, 3743.25, 3908.63]","['306', '10965', '10048', '10049', '393']"
16888264,"[776.37, 963.2, 981.47, 4298.87, 4564.91]","['10967', '720', '10966', '10050', '393']"
17635554,"[411.08, 670.43, 770.62, 1146.35, 3158.49]","['10967', '10968', '10053', '10052', '10051']"
17717341,"[227.12, 1189.64, 5485.38, 6173.47, 6507.71]","['10969', '10053', '10054', '10970', '6685']"
17717347,"[227.12, 1189.64, 5485.38, 6173.47, 6507.71]","['10969', '10053', '10054', '10970', '6685']"
16770257,"[406.51, 4816.0, 5664.77, 6130.67, 6352.86]","['10969', '6675', '10054', '10971', '10970']"
17753085,"[303.83, 4770.03, 5562.09, 6250.18, 6584.41]","['10969', '84', '10054', '10970', '6685']"
16990633,"[229.95, 4696.15, 5488.21, 6176.3, 6510.53]","['10969', '84', '10054', '10970', '6685']"
17736789,"[229.95, 4696.15, 5488.21, 6176.3, 6510.53]","['10969', '84', '10054', '10970', '6685']"
